original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_10215_1_f,busprio_l_10215_1_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10219_0_f,busprio_l_10219_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10220_0_f,busprio_l_10220_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10233_0_f,busprio_l_10233_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10233_1_f,busprio_l_10233_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10233_2_f,busprio_l_10233_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10233_3_f,busprio_l_10233_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10234_0_f,busprio_l_10234_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10234_1_f,busprio_l_10234_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10234_2_f,busprio_l_10234_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10234_3_f,busprio_l_10234_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10234_4_f,busprio_l_10234_4_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10237_0_f,busprio_l_10237_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10237_1_f,busprio_l_10237_1_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10237_2_f,busprio_l_10237_2_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10237_3_f,busprio_l_10237_3_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10237_3_r,busprio_l_10237_3_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1023_0_f,busprio_l_1023_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1023_1_f,busprio_l_1023_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10240_0_f,busprio_l_10240_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10244_0_f,busprio_l_10244_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1024_0_f,busprio_l_1024_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_1_f,busprio_l_1024_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_2_f,busprio_l_1024_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_3_f,busprio_l_1024_3_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_4_f,busprio_l_1024_4_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_5_f,busprio_l_1024_5_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_6_f,busprio_l_1024_6_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_7_f,busprio_l_1024_7_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_8_f,busprio_l_1024_8_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1024_9_f,busprio_l_1024_9_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10257_0_f,busprio_l_10257_0_f,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10257_0_r,busprio_l_10257_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_1025_0_f,busprio_l_1025_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_1_f,busprio_l_1025_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_2_f,busprio_l_1025_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_3_f,busprio_l_1025_3_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_4_f,busprio_l_1025_4_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_5_f,busprio_l_1025_5_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_6_f,busprio_l_1025_6_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1025_7_f,busprio_l_1025_7_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10262_0_f,busprio_l_10262_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_1026_0_f,busprio_l_1026_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
