merged_stop_id,source_ids,source_id_count,name,normalized_name,source_types,line_ids,merge_member_count,merge_method,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_2km_buffer,raw_record_count,mode,coord_source
amap_stop_00542,BV10208472,1,上三路口(公交站),上三路口,lineid_busstop;poi,350100010011;350100010012;350100010105;350100010238;350100010239;350100010245;350100010247;350100010249;350100010253;350100010271;350100010286;350100010287;350100010325;350100010433;350100010434;350100010439;350100010440;350100010495;350100010617;350100010618;900000025642;900000055347;900000055360;900000062588;900000077842;900000077843;900000153779;900000153780;900000175765;900000193763;900000193764;900000215288;900000226061,1,same_id,119.32177,26.035627,119.3169279962955,26.038658596801028,731835.9114793113,2882023.49131809,True,True,34,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00543,BV10208473,1,左海公园西门(公交站),左海公园西门,lineid_busstop;poi,350100010011;350100010012;350100010137;350100010138;350100010299;350100010316;350100010317;350100010351;350100010737;350100010767;900000195062;900000254114,1,same_id,119.281692,26.096626,119.2769107075442,26.09976258792924,727712.0971496755,2888723.2123862514,True,True,13,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00544,BV10208475,1,西洪路(公交站),西洪路,lineid_busstop;poi,350100010011;350100010023;350100010072;350100010089;350100010137;350100010200;350100010207;350100010254;350100010256;350100010295;350100010296;350100010299;350100010316;350100010317;350100010331;350100010332;350100010351;350100010356;350100010357;350100010504;350100010505;350100010737;350100010767;900000241675,1,same_id,119.282345,26.086123,119.27756374432626,26.08925191678877,727797.8010569885,2887559.781838992,True,True,25,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00545,BV10208476,1,福屿天桥(公交站),福屿天桥,lineid_busstop;poi,350100010011;350100010012;350100010023;350100010024;350100010147;350100010148;350100010238;350100010245;350100010254;350100010256;350100010266;350100010267;350100010295;350100010296;350100010331;350100010332;350100010356;350100010357;350100010504;350100010505;350100010742;350100010743;900000030076;900000030077;900000081248;900000081249;900000146212;900000149864;900000166891;900000166892,1,same_id,119.283318,26.078721,119.2785361555988,26.081843871141405,727909.4521788871,2886740.6791869462,True,True,31,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00546,BV10208477,1,黎明(公交站),黎明,lineid_busstop;poi,350100010011;350100010012;350100010023;350100010024;350100010038;350100010147;350100010148;350100010157;350100010238;350100010245;350100010254;350100010256;350100010266;350100010267;350100010295;350100010296;350100010331;350100010332;350100010356;350100010357;350100010504;350100010505;350100010742;350100010743;900000029831;900000029832;900000030076;900000030077;900000081248;900000081249;900000195062;900000254114,1,same_id,119.284393,26.07445,119.27961017741958,26.07756873867481,728025.2053063393,2886268.878877583,True,True,33,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00547,BV10208478,1,市教院附中(公交站),市教院附中,lineid_busstop;poi,350100010011;350100010012;350100010023;350100010024;350100010037;350100010038;350100010077;350100010078;350100010157;350100010158;350100010228;350100010230;350100010238;350100010245;350100010250;350100010254;350100010256;350100010356;350100010357;350100010504;350100010505;350100010742;350100010743;900000081248;900000081249;900000107418;900000107419;900000195062;900000254114,1,same_id,119.286659,26.069326,119.28187370713393,26.07243848796395,728261.6518813308,2885704.4170221817,True,True,30,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00548,BV10208480,1,浦东(公交站),浦东,lineid_busstop;poi,350100010011;350100010012;350100010073;350100010074;350100010111;350100010112;350100010238;350100010245;350100010254;350100010256;350100010286;350100010287;350100010302;350100010318;350100010319;350100010337;350100010338;350100010356;350100010357;350100010365;350100010366;900000094001;900000094002;900000104136;900000104375;900000220899;900000220911,1,same_id,119.295641,26.061287,119.29084354142752,26.06438150489806,729174.9157672201,2884827.4580535297,True,True,28,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00549,BV10208481,1,华侨中学(公交站),华侨中学,lineid_busstop;poi,900000104187,1,same_id,119.29789,26.057468,119.29308930215224,26.06055647566503,729407.1109399674,2884407.5990042123,True,True,2,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00550,BV10208482,1,南禅山(公交站),南禅山,lineid_busstop;poi,350100010011;350100010012;350100010073;350100010074;350100010111;350100010112;350100010238;350100010245;350100010254;350100010256;350100010286;350100010287;350100010318;350100010319;350100010337;350100010338;350100010356;350100010357;350100010359;350100010365;350100010366;350100010407;900000094001;900000094002;900000167351;900000167352,1,same_id,119.299327,26.054088,119.2945242414667,26.0571719305869,729557.3145871059,2884035.120138555,True,True,27,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00551,BV10208485,1,程埔头(公交站),程埔头,lineid_busstop;poi,350100010011;350100010041;350100010073;350100010105;350100010135;350100010180;350100010238;350100010247;350100010253;350100010254;350100010271;350100010272;350100010286;350100010337;350100010363;350100010434;350100010440;350100010495;350100010508;350100010617;900000025642;900000055347;900000077842;900000139516;900000166947;900000167357;900000175765;900000193763;900000215288;900000226061,1,same_id,119.312005,26.03727,119.30718136200272,26.04032086235585,730857.0614989871,2882190.3789165183,True,True,31,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00552,BV10208489,1,丰泉环保集团(公交站),丰泉环保集团,lineid_busstop;poi,350100010011;350100010012,1,same_id,119.352669,26.019102,119.3477709578893,26.022065300940216,734956.2553729095,2880240.1244588788,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00553,BV10208490,1,山海观(公交站),山海观,lineid_busstop;poi,350100010012;350100010023;350100010024;350100010071;350100010072;350100010089;350100010090;350100010135;350100010138;350100010200;350100010254;350100010256;350100010296;350100010316;350100010331;350100010351;350100010356;350100010357;350100010767;900000029831;900000029832;900000195062;900000254114,1,same_id,119.281706,26.095772,119.27692475559306,26.09890801094785,727715.1587984188,2888628.5505338907,True,True,24,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00554,BV10208493,1,洪山桥(公交站),洪山桥,lineid_busstop;poi,350100010013;350100010014;350100010031;350100010032;350100010033;350100010034;350100010043;350100010044;350100010053;350100010054;350100010059;350100010060;350100010061;350100010062;350100010097;350100010098;350100010099;350100010100;350100010101;350100010102;350100010109;350100010110;350100010113;350100010114;350100010147;350100010148;350100010165;350100010166;350100010205;350100010211;350100010212;350100010220;350100010286;350100010287;350100010310;350100010311;350100010337;350100010349;350100010350;350100010365;350100010366;350100010506;350100010507;350100010737;350100010767;900000028090;900000028094;900000048928;900000048929;900000144210;900000144211;900000160848;900000160849;900000166891;900000166892;900000254110,1,same_id,119.25739,26.076185,119.25262722391996,26.07932575109044,725321.9194244723,2886416.5856978195,True,True,57,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00555,BV10208494,1,物构所(公交站),物构所,lineid_busstop;poi,350100010013;350100010014;350100010031;350100010032;350100010033;350100010034;350100010043;350100010044;350100010053;350100010054;350100010059;350100010060;350100010061;350100010062;350100010099;350100010100;350100010113;350100010114;350100010147;350100010148;350100010165;350100010166;350100010205;350100010220;350100010238;350100010245;350100010337;350100010365;350100010366;350100010737;350100010767;900000146207;900000149278,1,same_id,119.265481,26.076708,119.26071502201354,26.079845533317467,726130.1711966877,2886488.196009787,True,True,34,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
