"dimension","key","count"
"link","road_103276_0_f","1"
"link","road_102110_0_f","4"
"link","road_56930_0_f","11"
"link","road_104510_0_f","3"
"link","road_111904_0_f","12"
"link","road_104703_0_f","1"
"link","road_93404_0_f","1"
"link","road_8063_0_f","1"
"link","road_104189_0_f","1"
"link","road_58605_0_f","4"
"link","road_104684_0_f","2"
"link","road_56859_0_f","2"
"link","road_2572_0_f","1"
"link","road_102995_0_r","6"
"link","road_101988_0_r","1"
"link","road_96214_0_f","1"
"link","road_94082_0_f","1"
"link","road_93612_0_f","3"
"link","road_58563_0_f","59"
"link","road_103734_0_f","9"
"link","road_57386_0_f","4"
"link","road_101795_0_f","5"
"link","road_108040_0_f","6"
"link","road_9687_0_f","1"
"link","road_93325_0_f","16"
"link","road_57613_0_f","17"
"link","road_94793_0_f","1"
"link","road_59038_0_f","21"
"link","road_104647_0_f","1"
"link","road_311_0_f","4"
"link","road_165269_0_f","2"
"link","road_60993_0_f","2"
"link","road_trajectory_gap_connector_002967","5"
"link","road_57349_0_f","5"
"link","road_101758_0_f","2"
"link","road_58987_0_f","2"
"link","road_101312_0_r","3"
"link","road_103217_0_f","2"
"link","road_102478_0_f","2"
"link","road_272902_0_f","11"
"link","road_61653_0_r","1"
"link","road_107707_0_f","2"
"link","road_5115_0_r","5"
"link","road_164772_0_f","2"
"link","road_9665_0_f","4"
"link","road_8465_0_f","1"
"link","road_93110_0_f","1"
"link","road_96423_0_r","3"
"link","road_59016_0_f","1"
"link","road_260680_0_f","12"
"link","road_110626_0_f","6"
"link","road_103425_0_f","2"
"link","road_97128_0_f","1"
"link","road_58965_0_r","1"
"link","road_102720_0_f","1"
"link","road_101256_0_r","1"
"link","road_59972_0_f","4"
"link","road_102936_0_f","1"
"link","road_60030_0_f","1"
"link","road_103440_0_f","1"
"link","road_96136_0_f","1"
"link","road_62816_0_f","2"
"link","road_101944_0_r","5"
"link","road_92988_0_f","13"
"link","road_57728_0_f","15"
"link","road_96847_0_f","2"
"link","road_56796_0_f","2"
"link","road_279265_0_f","3"
"link","road_110604_0_f","12"
"link","road_260069_0_f","1"
"link","road_101464_0_f","1"
