"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_000720","1","1"
"hk_collective_000721","1","1"
"hk_collective_000722","1","1"
"hk_collective_000723","1","1"
"hk_collective_000727","1","1"
"hk_collective_000729","1","1"
"hk_collective_000730","1","1"
"hk_collective_000731","1","1"
"hk_collective_000732","1","1"
"hk_collective_000733","1","1"
"hk_collective_000734","1","1"
"hk_collective_000735","1","1"
"hk_collective_000736","1","1"
"hk_collective_000738","1","1"
"hk_collective_000739","1","1"
"hk_collective_000740","1","1"
"hk_collective_000741","1","1"
"hk_collective_000742","1","1"
"hk_collective_000745","1","1"
"hk_collective_000746","1","1"
"hk_collective_000747","1","1"
"hk_collective_000748","1","1"
"hk_collective_000749","1","1"
"hk_collective_000750","1","1"
"hk_collective_000751","1","1"
"hk_collective_000755","1","1"
"hk_collective_000756","1","1"
"hk_collective_000757","1","1"
"hk_collective_000759","1","1"
"hk_collective_000760","1","1"
"hk_collective_000761","1","1"
"hk_collective_000762","1","1"
"hk_collective_000764","1","1"
"hk_collective_000766","1","1"
"hk_collective_000767","1","1"
"hk_collective_000769","1","1"
"hk_collective_000771","1","1"
"hk_collective_000772","1","1"
"hk_collective_000773","1","1"
"hk_collective_000774","1","1"
"hk_collective_000775","1","1"
"hk_collective_000776","1","1"
"hk_collective_000777","1","1"
"hk_collective_000778","1","1"
"hk_collective_000782","1","1"
"hk_collective_000785","1","1"
"hk_collective_000788","1","1"
"hk_collective_000790","1","1"
"hk_collective_000793","1","1"
"hk_collective_000794","1","1"
"hk_collective_000798","1","1"
"hk_collective_000799","1","1"
"hk_collective_000801","1","1"
"hk_collective_000804","1","1"
"hk_collective_000805","1","1"
"hk_collective_000806","1","1"
"hk_collective_000807","1","1"
"hk_collective_000810","1","1"
"hk_collective_000811","1","1"
"hk_collective_000813","1","1"
"hk_collective_000814","1","1"
"hk_collective_000816","1","1"
"hk_collective_000818","1","1"
"hk_collective_000820","1","1"
"hk_collective_000821","1","1"
"hk_collective_000822","1","1"
"hk_collective_000825","1","1"
"hk_collective_000826","1","1"
"hk_collective_000829","1","1"
"hk_collective_000830","1","1"
"hk_collective_000832","1","1"
"hk_collective_000833","1","1"
"hk_collective_000834","1","1"
"hk_collective_000835","1","1"
"hk_collective_000837","1","1"
"hk_collective_000839","1","1"
"hk_collective_000840","1","1"
"hk_collective_000841","1","1"
"hk_collective_000842","1","1"
"hk_collective_000843","1","1"
"hk_collective_000844","1","1"
"hk_collective_000845","1","1"
"hk_collective_000846","1","1"
"hk_collective_000847","1","1"
"hk_collective_000849","1","1"
"hk_collective_000850","1","1"
"hk_collective_000851","1","1"
"hk_collective_000852","1","1"
"hk_collective_000853","1","1"
"hk_collective_000854","1","1"
"hk_collective_000855","1","1"
"hk_collective_000856","1","1"
"hk_collective_000857","1","1"
"hk_collective_000858","1","1"
"hk_collective_000859","1","1"
"hk_collective_000860","1","1"
"hk_collective_000861","1","1"
"hk_collective_000863","1","1"
"hk_collective_000864","1","1"
"hk_collective_000865","1","1"
"hk_collective_000866","1","1"
"hk_collective_000867","1","1"
"hk_collective_000868","1","1"
"hk_collective_000870","1","1"
"hk_collective_000871","1","1"
"hk_collective_000873","1","1"
"hk_collective_000877","1","1"
"hk_collective_000878","1","1"
"hk_collective_000879","1","1"
"hk_collective_000881","1","1"
"hk_collective_000882","1","1"
"hk_collective_000883","1","1"
"hk_collective_000885","1","1"
"hk_collective_000886","1","1"
"hk_collective_000887","1","1"
"hk_collective_000889","1","1"
"hk_collective_000891","1","1"
"hk_collective_000892","1","1"
"hk_collective_000893","1","1"
"hk_collective_000894","1","1"
"hk_collective_000895","1","1"
"hk_collective_000896","1","1"
"hk_collective_000897","1","1"
"hk_collective_000900","1","1"
"hk_collective_000901","1","1"
"hk_collective_000902","1","1"
"hk_collective_000903","1","1"
"hk_collective_000904","1","1"
"hk_collective_000906","1","1"
"hk_collective_000907","1","1"
"hk_collective_000908","1","1"
"hk_collective_000911","1","1"
"hk_collective_000912","1","1"
"hk_collective_000914","1","1"
"hk_collective_000915","1","1"
"hk_collective_000917","1","1"
"hk_collective_000918","1","1"
"hk_collective_000920","1","1"
"hk_collective_000922","1","1"
"hk_collective_000923","1","1"
"hk_collective_000924","1","1"
"hk_collective_000926","1","1"
"hk_collective_000928","1","1"
"hk_collective_000933","1","1"
"hk_collective_000935","1","1"
"hk_collective_000936","1","1"
"hk_collective_000938","1","1"
"hk_collective_000939","1","1"
"hk_collective_000941","1","1"
"hk_collective_000946","1","1"
"hk_collective_000948","1","1"
"hk_collective_000949","1","1"
"hk_collective_000952","1","1"
"hk_collective_000954","1","1"
"hk_collective_000956","1","1"
"hk_collective_000957","1","1"
"hk_collective_000958","1","1"
"hk_collective_000959","1","1"
"hk_collective_000960","1","1"
"hk_collective_000961","1","1"
"hk_collective_000964","1","1"
"hk_collective_000965","1","1"
"hk_collective_000966","1","1"
"hk_collective_000972","1","1"
"hk_collective_000974","1","1"
"hk_collective_000975","1","1"
"hk_collective_000976","1","1"
"hk_collective_000977","1","1"
"hk_collective_000978","1","1"
"hk_collective_000979","1","1"
"hk_collective_000980","1","1"
"hk_collective_000981","1","1"
"hk_collective_000983","1","1"
"hk_collective_000984","1","1"
