"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","expected_departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","attribution_category","invalid_pt_before_element_indexes","removed_pt_before_element_indexes","stuck_before","last_observed_event_type","last_observed_event_time"
"hk_person_06069952","1","3","7","71235.0","pt|pt|taxi","126.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","28772.0"
"hk_person_00556325","0","2","5","56696.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29468.0"
"hk_person_00556325","1","3","7","63296.0","pt|pt|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29468.0"
"hk_person_00454687","0","2","5","67430.0","pt|pt","71.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29157.0"
"hk_person_00454687","1","3","7","74330.0","pt|pt|taxi","73.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29157.0"
"hk_person_02379650","0","2","5","69394.0","pt|pt","123.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32907.0"
"hk_person_02379650","1","3","7","76294.0","pt|pt|taxi","122.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32907.0"
"hk_person_03877068","0","2","5","63769.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","25826.0"
"hk_person_03877068","1","3","7","70669.0","pt|pt|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","25826.0"
"hk_person_06049383","0","2","5","68176.0","pt|pt","136.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26719.0"
"hk_person_06049383","1","3","7","77776.0","pt|pt|taxi","133.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26719.0"
"hk_person_00787224","0","2","5","65211.0","pt|pt","66.8","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","23142.0"
"hk_person_00787224","1","3","7","72111.0","pt|pt|taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","23142.0"
"hk_person_00787224","2","4","9","78711.0","pt|pt|taxi|taxi","92.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","23142.0"
"hk_person_02024262","0","2","5","78315.0","pt|pt","267.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34467.0"
"hk_person_02024262","1","3","7","84915.0","pt|pt|taxi","262.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34467.0"
"hk_person_05160203","0","2","5","65716.0","pt|pt","33.1","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27753.0"
"hk_person_05160203","1","3","7","72316.0","pt|pt|taxi","38.8","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27753.0"
