"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","observed_departure","observed_arrival","missing_attribution"
"hk_collective_001736","1","3","7","77912.0","pt|pt|taxi","33.2","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001743","0","2","5","71553.0","pt|pt","105.3","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001743","1","3","7","78153.0","pt|pt|taxi","94.1","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001752","0","0","1","21348.0","","31.1","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_001752","1","1","3","49025.0","taxi","39.5","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_001755","0","2","5","63969.0","pt|pt","120.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001755","1","3","7","73569.0","pt|pt|taxi","52.1","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001755","2","4","9","80469.0","pt|pt|taxi|taxi","106.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001765","0","0","1","38288.0","","87.8","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001765","1","1","3","49688.0","taxi","75.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001768","0","0","1","53908.0","","155.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001768","1","1","3","60808.0","taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001768","2","2","5","67708.0","taxi|taxi","150.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001793","0","0","1","44042.0","","58.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001793","1","1","3","50942.0","taxi","54.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001794","0","0","1","44093.0","","35.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001794","1","1","3","50993.0","taxi","31.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001812","0","0","1","48290.0","","124.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001812","1","1","3","55190.0","taxi","94.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001812","2","2","5","62090.0","taxi|taxi","58.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
