poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning
BV09535563,黄金大酒店(公交站),黄金大酒店,交通设施服务;公交车站;公交车站相关,150700,旅游快线,福建省,福州市,晋安区,119.31968,26.11173,119.31483627462168,26.114816165175547,731476.5969146374,2890458.0870198244,True,True,L0_007_006,3,1,黄金大酒店_00498,False
BV09535564,福州财富悦城酒店(公交站),福州财富悦城酒店,交通设施服务;公交车站;公交车站相关,150700,旅游快线,福建省,福州市,晋安区,119.317507,26.119436,119.31266684530004,26.12253123097565,731244.3895708715,2891309.065629473,True,True,L0_007_006,1,1,福州财富悦城酒店_00499,False
BV10208388,西门(公交站),西门,交通设施服务;公交车站;公交车站相关,150700,100路(敬老线路);109路(敬老线路);111路;1路;200路;88路;东部4号线;东部6号线(西门专线);马尾快线2号线,福建省,福州市,鼓楼区,119.288732,26.088009,119.2839425600652,26.091131176673564,728432.3548027712,2887779.181002057,True,True,L0_006_005,2,1,西门_00500,False
BV10208391,东街口(公交站),东街口,交通设施服务;公交车站;公交车站相关,150700,(停运)通勤快线27路;102路;117路;118路;19路;22路;27路(敬老线路);301路;327路;5路;74路(敬老线路),福建省,福州市,鼓楼区,119.301675,26.086145,119.29686595511846,26.089246510381432,729729.019772039,2887593.104191144,True,True,L0_007_004;L0_007_005,3,2,东街口_00501,False
BV10208393,旗汛口(公交站),旗汛口,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;27路(敬老线路);310路;327路;55路快线;5路;80路;88路,福建省,福州市,鼓楼区,119.303528,26.086308,119.2987158013985,26.089406536349365,729913.7868397222,2887614.1010355963,True,True,L0_007_005,3,1,旗汛口_00502,False
BV10208394,南门(公交站),南门,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;11路;121路(敬老线路);133路;159路;171路(敬老线路);1路;20路;20路夜间区间车;312路;54路;66路;77路,福建省,福州市,鼓楼区,119.302826,26.074471,119.29801588912228,26.07756285697041,729866.9137769839,2886300.585464029,True,True,L0_007_004,1,1,南门_00503,False
BV10208395,茶亭(公交站),茶亭,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;11路;121路(敬老线路);133路;136路;179路;1路;20路;312路;336路;33路;38路;41路;59路;64路;66路;77路;83路,福建省,福州市,台江区,119.303856,26.07062,119.29904441765484,26.073707562973045,729977.368278201,2885875.235035462,True,True,L0_007_004,1,1,茶亭_00504,False
BV10208397,省人民医院(公交站),省人民医院,交通设施服务;公交车站;公交车站相关,150700,105路;10路;11路;136路;15路;19路;1路;20路;312路;351路;66路,福建省,福州市,台江区,119.305591,26.061186,119.30077711611517,26.064264301261556,730169.2247047501,2884831.982917737,True,True,L0_007_003;L0_007_004,3,2,省人民医院_00505,False
BV10208398,达道(公交站),达道,交通设施服务;公交车站;公交车站相关,150700,1路;320路;3路;50路;52路;79路;83路;地铁接驳20号专线,福建省,福州市,台江区,119.30883,26.055956,119.3040107520271,26.059025146180083,730503.0858575539,2884257.2012097067,True,True,L0_007_003,2,1,达道_00506,False
BV10208400,台江步行街(公交站),台江步行街,交通设施服务;公交车站;公交车站相关,150700,51路(敬老线路),福建省,福州市,台江区,119.317408,26.053112,119.31257303548449,26.05616360795842,731365.6049855037,2883955.315464894,True,True,L0_007_003,2,1,台江步行街_00507,False
BV10208401,桥南(公交站),桥南,交通设施服务;公交车站;公交车站相关,150700,(停运)7686闽江之心环线;101路;105路;115路;12路;149路;14路;162路;190路(敬老线路);1路;202路;25路(敬老线路);301路;305路;307路;309路;30路;31路;47路;7686烟台山公园专线;77路;85路;K1路;K2路;地铁接驳15号专线;地铁烟台山接驳环线;通勤快线23,福建省,福州市,仓山区,119.321271,26.04566,119.31642920152841,26.048699322732652,731766.2254641833,2883135.120730094,True,True,L0_007_003;L0_008_003,3,2,桥南_00508,False
BV10208403,三叉街新村(公交站),三叉街新村,交通设施服务;公交车站;公交车站相关,150700,101路;113路;124路;137路;156路;157路;188路(敬老线路);1路;25路(敬老线路);26路;30路;31路;42路;711路;76路;83路;85路;8路;K2路,福建省,福州市,仓山区,119.330317,26.031011,119.32545880645468,26.034023168768933,732698.9641823792,2881525.0768042323,True,True,L0_008_002,2,1,三叉街新村_00509,False
BV10208406,白湖亭(公交站),白湖亭,交通设施服务;公交车站;公交车站相关,150700,101路;14路;163路;1路;26路;28路(敬老线路);301路;353路;357路;42路;8路;东部20号线,福建省,福州市,仓山区,119.335942,26.025101,119.33107346359868,26.02809846958341,733272.7188199467,2880878.644240301,True,True,L0_008_002,1,1,白湖亭_00510,False
BV10208409,洋头口(公交站),洋头口,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线;109路(敬老线路);11路;121路(敬老线路);136路;179路;1路;20路;312路;316路;33路;38路;41路;66路;77路,福建省,福州市,台江区,119.305313,26.066067,119.30049923528794,26.06914904578812,730131.8621329386,2885372.721200858,True,True,L0_007_004,2,1,洋头口_00511,False
