line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_900000030782,bus_route_900000030782,16,124,16312.9,16312.9,2508.0,2508.491,23.416,23.411,true,0
bus_line_900000030783,bus_route_900000030783,15,180,24742.847,24742.847,3674.0,3674.24,24.244,24.243,true,0
bus_line_900000034476,bus_route_900000034476,8,39,5801.618,5801.618,894.0,894.307,23.362,23.354,true,0
bus_line_900000035847,bus_route_900000035847,7,29,4614.642,4614.642,716.0,716.248,23.202,23.194,true,0
bus_line_900000037276,bus_route_900000037276,20,126,13720.426,13720.426,2393.0,2393.186,20.641,20.639,true,0
bus_line_900000037277,bus_route_900000037277,22,210,21104.708,21104.708,3518.0,3517.504,21.597,21.6,true,0
bus_line_900000042667,bus_route_900000042667,22,228,28959.54,28959.54,4169.0,4168.799,25.007,25.008,true,0
bus_line_900000042668,bus_route_900000042668,19,201,28108.453,28108.453,4070.0,4069.525,24.863,24.865,true,0
bus_line_900000042908,bus_route_900000042908,13,232,33218.256,33218.256,4997.0,4996.679,23.932,23.933,true,0
bus_line_900000042976,bus_route_900000042976,33,324,62716.799,62716.799,9192.0,9191.563,24.563,24.564,true,0
bus_line_900000043495,bus_route_900000043495,35,809,161113.532,161113.532,22872.0,22871.938,25.359,25.359,true,0
bus_line_900000045849,bus_route_900000045849,8,37,7027.49,7027.49,1091.0,1090.738,23.189,23.194,true,0
bus_line_900000045850,bus_route_900000045850,9,47,8360.794,8360.794,1282.0,1282.224,23.478,23.474,true,0
bus_line_900000046046,bus_route_900000046046,35,764,104965.785,104965.785,14426.0,14425.814,26.194,26.194,true,0
bus_line_900000046047,bus_route_900000046047,30,531,80372.64,80372.64,11191.0,11190.614,25.855,25.856,true,0
bus_line_900000046206,bus_route_900000046206,13,60,8356.64,8356.64,1475.0,1475.015,20.396,20.396,true,0
bus_line_900000048928,bus_route_900000048928,20,210,43136.348,43136.348,6584.0,6583.927,23.586,23.586,true,0
bus_line_900000048929,bus_route_900000048929,19,228,50345.168,50345.168,7549.0,7549.213,24.009,24.008,true,0
bus_line_900000049348,bus_route_900000049348,7,61,9807.469,9807.469,1402.0,1402.321,25.183,25.177,true,0
bus_line_900000049349,bus_route_900000049349,7,70,7017.42,7017.42,1074.0,1073.713,23.522,23.528,true,0
bus_line_900000049875,bus_route_900000049875,30,412,51878.104,51878.104,7749.0,7749.145,24.101,24.101,true,0
bus_line_900000049876,bus_route_900000049876,34,276,32390.58,32390.58,5343.0,5343.167,21.824,21.823,true,0
bus_line_900000055195,bus_route_900000055195,9,48,5777.73,5777.73,975.0,975.484,21.333,21.323,true,0
