line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_900000170681,bus_route_900000170681,6,73,7625.966,7625.966,484.0,1213.578,56.722,22.622,true,0
bus_line_900000170682,bus_route_900000170682,5,51,6050.575,6050.575,361.0,943.947,60.338,23.076,true,0
bus_line_900000172638,bus_route_900000172638,8,139,16463.955,16463.955,942.0,2481.117,62.92,23.889,true,0
bus_line_900000172639,bus_route_900000172639,8,146,19581.468,19581.468,1091.0,2882.271,64.613,24.458,true,0
bus_line_900000173281,bus_route_900000173281,5,171,46977.917,7988.184,392.0,1140.52,73.361,25.214,true,0
bus_line_900000173282,bus_route_900000173282,4,106,27056.125,6501.294,1472.0,963.165,15.9,24.3,true,0
bus_line_900000173534,bus_route_900000173534,7,32,5491.066,5491.066,497.0,1025.672,39.774,19.273,true,0
bus_line_900000173535,bus_route_900000173535,7,83,14548.765,14548.765,678.0,1995.971,77.25,26.241,true,0
bus_line_900000173976,bus_route_900000173976,22,240,36501.108,36501.108,2034.0,5475.922,64.604,23.997,true,0
bus_line_900000173977,bus_route_900000173977,22,264,37242.605,37203.056,2038.0,5525.867,65.717,24.237,true,0
bus_line_900000174899,bus_route_900000174899,12,101,19855.397,19855.397,1374.0,3361.554,52.023,21.264,true,0
bus_line_900000174900,bus_route_900000174900,13,176,34964.489,34964.489,2211.0,5476.717,56.93,22.983,true,0
bus_line_900000175764,bus_route_900000175764,20,261,45630.606,45630.606,2519.0,6710.256,65.212,24.48,true,0
bus_line_900000175765,bus_route_900000175765,20,454,77555.249,39542.631,2016.0,5606.454,70.612,25.391,true,0
bus_line_900000175766,bus_route_900000175766,6,59,9603.266,9603.266,539.0,1413.495,64.141,24.458,true,0
bus_line_900000175767,bus_route_900000175767,6,46,8150.721,7602.939,397.0,1124.366,68.944,24.343,true,0
bus_line_900000175768,bus_route_900000175768,26,299,41128.661,41108.37,2194.0,6064.449,67.452,24.403,true,0
bus_line_900000175769,bus_route_900000175769,27,279,47199.253,47199.253,2544.0,7027.231,66.791,24.18,true,0
bus_line_900000175770,bus_route_900000175770,8,1132,205257.138,172073.646,8289.0,21987.437,74.733,28.174,true,0
bus_line_900000175771,bus_route_900000175771,8,1338,233185.178,233185.178,11925.0,30553.823,70.396,27.475,true,0
bus_line_900000181437,bus_route_900000181437,13,85,11171.354,11171.354,628.0,1796.488,64.04,22.386,true,0
bus_line_900000181438,bus_route_900000181438,11,175,25667.384,25667.384,1430.0,3796.359,64.617,24.34,true,0
bus_line_900000181867,bus_route_900000181867,2,24,2889.973,2889.973,157.0,396.929,66.267,26.211,true,0
bus_line_900000182671,bus_route_900000182671,12,275,54853.813,54633.92,2776.0,7399.459,70.851,26.581,true,0
bus_line_900000182672,bus_route_900000182672,13,306,51765.601,51765.601,2663.0,7102.35,69.98,26.239,true,0
bus_line_900000183431,bus_route_900000183431,11,274,39594.807,39594.807,2240.0,5671.382,63.635,25.133,true,0
bus_line_900000183432,bus_route_900000183432,11,241,33162.353,33162.353,2025.0,5012.089,58.955,23.819,true,0
bus_line_900000183715,bus_route_900000183715,8,164,15262.971,15063.537,1199.0,2532.396,45.228,21.414,true,0
bus_line_900000183716,bus_route_900000183716,8,196,17257.097,17257.097,1393.0,2885.959,44.598,21.527,true,0
bus_line_900000186777,bus_route_900000186777,11,459,83764.9,74331.827,3900.0,10196.309,68.614,26.244,true,0
bus_line_900000186785,bus_route_900000186785,18,1658,297346.309,297346.309,14969.0,40076.509,71.511,26.71,true,0
bus_line_900000186795,bus_route_900000186795,9,453,91223.018,39453.18,2023.0,5308.939,70.208,26.753,true,0
bus_line_900000187569,bus_route_900000187569,7,70,10093.97,10093.97,563.0,1496.837,64.544,24.277,true,0
bus_line_900000187570,bus_route_900000187570,6,70,11017.219,10469.437,517.0,1481.037,72.901,25.448,true,0
bus_line_900000189726,bus_route_900000189726,19,143,18078.722,18078.722,1018.0,2886.711,63.933,22.546,true,0
bus_line_900000189727,bus_route_900000189727,19,92,10137.635,10137.635,590.0,1797.22,61.857,20.307,true,0
bus_line_900000191300,bus_route_900000191300,4,20,3869.571,3869.571,207.0,584.817,67.297,23.82,true,0
bus_line_900000191301,bus_route_900000191301,5,38,6927.197,6927.197,318.0,974.869,78.421,25.581,true,0
bus_line_900000192611,bus_route_900000192611,20,1235,240962.691,240962.691,11807.0,32554.203,73.47,26.647,true,0
bus_line_900000192614,bus_route_900000192614,2,95,10058.277,9026.751,493.0,1279.563,65.915,25.396,true,0
bus_line_900000192900,bus_route_900000192900,10,46,6827.253,6827.253,466.0,1175.338,52.743,20.912,true,0
bus_line_900000192901,bus_route_900000192901,11,97,15411.982,15411.982,932.0,2400.087,59.531,23.117,true,0
bus_line_900000193359,bus_route_900000193359,27,351,98698.918,98601.6,5956.0,14557.907,59.598,24.383,true,0
bus_line_900000193360,bus_route_900000193360,23,129,40514.102,40181.625,2348.0,6057.911,61.607,23.879,true,0
bus_line_900000193763,bus_route_900000193763,9,134,17240.626,17240.626,833.0,2409.518,74.509,25.759,true,0
bus_line_900000193764,bus_route_900000193764,8,123,15874.994,15874.994,755.0,2226.274,75.695,25.671,true,0
bus_line_900000194319,bus_route_900000194319,7,123,15913.258,15913.258,889.0,2340.804,64.441,24.474,true,0
bus_line_900000194352,bus_route_900000194352,19,1157,225566.132,225566.132,11632.0,30256.669,69.811,26.838,true,0
bus_line_900000195062,bus_route_900000195062,6,943,160874.233,154936.767,7918.0,20159.536,70.444,27.668,true,0
bus_line_900000196463,bus_route_900000196463,10,64,12597.788,12597.788,789.0,1988.564,57.48,22.806,true,0
bus_line_900000198627,bus_route_900000198627,3,71,12921.214,12373.432,568.0,1617.416,78.423,27.54,true,0
bus_line_900000200434,bus_route_900000200434,13,1620,334681.512,334681.512,16611.0,44092.742,72.533,27.325,true,0
bus_line_900000200435,bus_route_900000200435,13,1153,180021.302,180021.302,9730.0,25121.032,66.606,25.798,true,0
bus_line_900000204072,bus_route_900000204072,2,19,2817.414,2817.414,194.0,466.799,52.282,21.728,true,0
bus_line_900000204073,bus_route_900000204073,2,14,1649.817,1649.817,113.0,279.85,52.561,21.223,true,0
bus_line_900000204980,bus_route_900000204980,9,254,51558.884,20288.888,1301.0,3215.471,56.141,22.715,true,0
bus_line_900000204982,bus_route_900000204982,9,366,70966.166,70619.046,3929.0,9803.611,64.706,25.932,true,0
bus_line_900000205225,bus_route_900000205225,6,1068,169710.018,169710.018,8472.0,22317.154,72.115,27.376,true,0
bus_line_900000205226,bus_route_900000205226,6,1156,202977.319,202977.319,10259.0,26921.178,71.227,27.143,true,0
bus_line_900000206025,bus_route_900000206025,16,1239,249803.45,249803.45,12486.0,32773.572,72.024,27.44,true,0
bus_line_900000206825,bus_route_900000206825,8,145,15888.464,15888.464,999.0,2485.85,57.256,23.01,true,0
bus_line_900000208231,bus_route_900000208231,5,69,7841.909,7841.909,378.0,1110.719,74.685,25.417,true,0
bus_line_900000208234,bus_route_900000208234,5,75,8435.0,8435.0,454.0,1209.687,66.885,25.102,true,0
bus_line_900000208430,bus_route_900000208430,7,257,60345.255,60345.255,3148.0,8204.213,69.01,26.479,true,0
bus_line_900000208431,bus_route_900000208431,9,96,20889.888,20889.888,1182.0,3060.56,63.624,24.572,true,0
bus_line_900000208609,bus_route_900000208609,10,143,19990.566,19990.566,1289.0,3155.79,55.831,22.804,true,0
bus_line_900000208610,bus_route_900000208610,10,172,20656.126,20656.126,1304.0,3222.16,57.026,23.078,true,0
bus_line_900000208818,bus_route_900000208818,6,20,4601.615,4373.781,306.0,801.25,51.456,19.651,true,0
bus_line_900000214653,bus_route_900000214653,2,11,2846.626,2846.626,103.0,361.595,99.494,28.341,true,0
bus_line_900000214655,bus_route_900000214655,2,16,3151.062,3151.062,114.0,398.883,99.507,28.439,true,0
bus_line_900000215287,bus_route_900000215287,19,320,41655.147,41655.147,2305.0,6077.679,65.058,24.674,true,0
bus_line_900000215288,bus_route_900000215288,23,505,70863.9,70863.9,3833.0,10097.917,66.556,25.264,true,0
