link_id,original_link_id,road_class,length_m,old_freespeed_kmh,speed_cap_kmh,new_freespeed_kmh,capacity,permlanes,speed_was_capped
busprio_l_1020_0_f,l_1020_0_f,secondary,165.115,60.012,25.0,25.0,3600,2,true
busprio_l_1020_1_f,l_1020_1_f,secondary,105.761,60.012,25.0,25.0,3600,2,true
busprio_l_1020_2_f,l_1020_2_f,secondary,145.134,60.012,25.0,25.0,3600,2,true
busprio_l_10214_0_f,l_10214_0_f,secondary_link,110.015,39.996,25.0,25.0,3600,1,true
busprio_l_10215_0_f,l_10215_0_f,unclassified,94.05,39.996,20.0,20.0,3600,1,true
busprio_l_10215_1_f,l_10215_1_f,unclassified,213.825,39.996,20.0,20.0,3600,1,true
busprio_l_10219_0_f,l_10219_0_f,unclassified,52.695,39.996,20.0,20.0,3600,1,true
busprio_l_10220_0_f,l_10220_0_f,unclassified,53.366,39.996,20.0,20.0,3600,1,true
busprio_l_10233_0_f,l_10233_0_f,secondary,235.331,60.012,25.0,25.0,3600,2,true
busprio_l_10233_1_f,l_10233_1_f,secondary,132.536,60.012,25.0,25.0,3600,2,true
busprio_l_10233_2_f,l_10233_2_f,secondary,16.974,60.012,25.0,25.0,3600,2,true
busprio_l_10233_3_f,l_10233_3_f,secondary,290.316,60.012,25.0,25.0,3600,2,true
busprio_l_10234_0_f,l_10234_0_f,secondary,232.03,60.012,25.0,25.0,3600,2,true
busprio_l_10234_1_f,l_10234_1_f,secondary,54.772,60.012,25.0,25.0,3600,2,true
busprio_l_10234_2_f,l_10234_2_f,secondary,16.002,60.012,25.0,25.0,3600,2,true
busprio_l_10234_3_f,l_10234_3_f,secondary,333.722,60.012,25.0,25.0,3600,2,true
busprio_l_10234_4_f,l_10234_4_f,secondary,38.191,60.012,25.0,25.0,3600,2,true
busprio_l_10237_0_f,l_10237_0_f,tertiary,14.494,50.004,22.0,22.0,3600,1,true
busprio_l_10237_1_f,l_10237_1_f,tertiary,10.949,50.004,22.0,22.0,3600,1,true
busprio_l_10237_2_f,l_10237_2_f,tertiary,72.801,50.004,22.0,22.0,3600,1,true
busprio_l_10237_3_f,l_10237_3_f,tertiary,7.231,50.004,22.0,22.0,3600,1,true
busprio_l_10237_3_r,l_10237_3_r,tertiary,7.231,50.004,22.0,22.0,3600,1,true
busprio_l_1023_0_f,l_1023_0_f,primary,10.571,79.992,28.0,28.0,5400,3,true
busprio_l_1023_1_f,l_1023_1_f,primary,401.05,79.992,28.0,28.0,5400,3,true
busprio_l_10240_0_f,l_10240_0_f,tertiary,41.208,50.004,22.0,22.0,3600,1,true
busprio_l_10244_0_f,l_10244_0_f,tertiary,30.3,50.004,22.0,22.0,3600,1,true
busprio_l_1024_0_f,l_1024_0_f,primary,219.631,79.992,28.0,28.0,5400,3,true
busprio_l_1024_1_f,l_1024_1_f,primary,74.36,79.992,28.0,28.0,5400,3,true
busprio_l_1024_2_f,l_1024_2_f,primary,11.059,79.992,28.0,28.0,5400,3,true
busprio_l_1024_3_f,l_1024_3_f,primary,149.273,79.992,28.0,28.0,5400,3,true
busprio_l_1024_4_f,l_1024_4_f,primary,47.791,79.992,28.0,28.0,5400,3,true
busprio_l_1024_5_f,l_1024_5_f,primary,39.499,79.992,28.0,28.0,5400,3,true
busprio_l_1024_6_f,l_1024_6_f,primary,152.257,79.992,28.0,28.0,5400,3,true
busprio_l_1024_7_f,l_1024_7_f,primary,190.864,79.992,28.0,28.0,5400,3,true
busprio_l_1024_8_f,l_1024_8_f,primary,13.596,79.992,28.0,28.0,5400,3,true
busprio_l_1024_9_f,l_1024_9_f,primary,156.306,79.992,28.0,28.0,5400,3,true
busprio_l_10257_0_f,l_10257_0_f,service,20.291,20.016,15.0,15.0,3600,1,true
busprio_l_10257_0_r,l_10257_0_r,service,20.291,20.016,15.0,15.0,3600,1,true
busprio_l_1025_0_f,l_1025_0_f,primary,259.881,79.992,28.0,28.0,5400,3,true
busprio_l_1025_1_f,l_1025_1_f,primary,94.611,79.992,28.0,28.0,5400,3,true
busprio_l_1025_2_f,l_1025_2_f,primary,363.803,79.992,28.0,28.0,5400,3,true
busprio_l_1025_3_f,l_1025_3_f,primary,31.784,79.992,28.0,28.0,5400,3,true
busprio_l_1025_4_f,l_1025_4_f,primary,7.769,79.992,28.0,28.0,5400,3,true
busprio_l_1025_5_f,l_1025_5_f,primary,38.186,79.992,28.0,28.0,5400,3,true
busprio_l_1025_6_f,l_1025_6_f,primary,103.859,79.992,28.0,28.0,5400,3,true
busprio_l_1025_7_f,l_1025_7_f,primary,3.417,79.992,28.0,28.0,5400,3,true
busprio_l_10262_0_f,l_10262_0_f,trunk_link,77.646,60.012,30.0,30.0,3600,1,true
busprio_l_1026_0_f,l_1026_0_f,secondary,1322.65,60.012,25.0,25.0,3600,2,true
busprio_l_1026_1_f,l_1026_1_f,secondary,460.027,60.012,25.0,25.0,3600,2,true
busprio_l_1027_0_f,l_1027_0_f,primary,115.42,79.992,28.0,28.0,5400,3,true
busprio_l_1027_1_f,l_1027_1_f,primary,33.687,79.992,28.0,28.0,5400,3,true
busprio_l_1028_0_f,l_1028_0_f,secondary,448.677,60.012,25.0,25.0,3600,2,true
busprio_l_1028_1_f,l_1028_1_f,secondary,373.885,60.012,25.0,25.0,3600,2,true
busprio_l_1028_2_f,l_1028_2_f,secondary,952.929,60.012,25.0,25.0,3600,2,true
busprio_l_1029_0_f,l_1029_0_f,secondary,7.6,60.012,25.0,25.0,3600,2,true
busprio_l_1029_1_f,l_1029_1_f,secondary,1003.169,60.012,25.0,25.0,3600,2,true
busprio_l_102_1_f,l_102_1_f,tertiary,208.552,50.004,22.0,22.0,3600,1,true
busprio_l_10316_0_f,l_10316_0_f,primary,6.934,79.992,28.0,28.0,5400,3,true
busprio_l_10316_1_f,l_10316_1_f,primary,202.553,79.992,28.0,28.0,5400,3,true
busprio_l_10316_2_f,l_10316_2_f,primary,124.655,79.992,28.0,28.0,5400,3,true
busprio_l_10316_3_f,l_10316_3_f,primary,56.706,79.992,28.0,28.0,5400,3,true
busprio_l_10317_0_f,l_10317_0_f,primary,56.53,79.992,28.0,28.0,5400,3,true
busprio_l_10317_1_f,l_10317_1_f,primary,329.817,79.992,28.0,28.0,5400,3,true
busprio_l_10317_2_f,l_10317_2_f,primary,7.305,79.992,28.0,28.0,5400,3,true
busprio_l_10318_0_f,l_10318_0_f,primary,154.814,79.992,28.0,28.0,3600,2,true
busprio_l_10319_0_f,l_10319_0_f,primary,154.424,79.992,28.0,28.0,3600,2,true
busprio_l_10320_0_f,l_10320_0_f,primary,134.006,79.992,28.0,28.0,3600,2,true
busprio_l_10321_0_f,l_10321_0_f,primary,134.308,79.992,28.0,28.0,3600,2,true
busprio_l_10322_0_f,l_10322_0_f,primary,81.179,79.992,28.0,28.0,3600,2,true
busprio_l_10323_0_f,l_10323_0_f,primary,81.528,79.992,28.0,28.0,3600,2,true
busprio_l_10324_0_f,l_10324_0_f,secondary,8.242,60.012,25.0,25.0,3600,2,true
busprio_l_10324_0_r,l_10324_0_r,secondary,8.242,60.012,25.0,25.0,4500,3,true
busprio_l_10324_1_f,l_10324_1_f,secondary,51.012,60.012,25.0,25.0,3600,2,true
busprio_l_10324_1_r,l_10324_1_r,secondary,51.012,60.012,25.0,25.0,4500,3,true
busprio_l_10324_2_f,l_10324_2_f,secondary,66.301,60.012,25.0,25.0,3600,2,true
busprio_l_10324_2_r,l_10324_2_r,secondary,66.301,60.012,25.0,25.0,4500,3,true
busprio_l_10325_0_f,l_10325_0_f,secondary,13.818,60.012,25.0,25.0,4500,3,true
busprio_l_10325_0_r,l_10325_0_r,secondary,13.818,60.012,25.0,25.0,3600,2,true
busprio_l_10325_1_f,l_10325_1_f,secondary,42.22,60.012,25.0,25.0,4500,3,true
busprio_l_10325_1_r,l_10325_1_r,secondary,42.22,60.012,25.0,25.0,3600,2,true
busprio_l_10330_0_f,l_10330_0_f,secondary,95.607,60.012,25.0,25.0,3600,2,true
busprio_l_10330_0_r,l_10330_0_r,secondary,95.607,60.012,25.0,25.0,3600,2,true
busprio_l_10331_0_f,l_10331_0_f,secondary,136.654,60.012,25.0,25.0,3750,2.5,true
