occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,coord_source,mode
350100020746_022_0b82d3da,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,22,BV10210910,BV10210910,苏洋,119.15963,26.098509,119.15963,26.098509,119.1547337744164,26.10155310624314,715486.3352987354,2888713.534303705,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_001_0b82d3da,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,1,BV10210910,BV10210910,苏洋,119.15963,26.098509,119.15963,26.098509,119.1547337744164,26.10155310624314,715486.3352987354,2888713.534303705,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_002_443b4023,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,2,BV10208894,BV10208894,沙堤,119.173983,26.085788,119.173983,26.085788,119.16911754114018,26.08885064177796,716948.6685943883,2887330.074119563,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_003_032726fc,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,3,BV10208880,BV10208880,上街,119.187292,26.075713,119.187292,26.075713,119.18245482144617,26.07879366757338,718301.6916503242,2886238.110111447,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_004_1e5f7900,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,4,BV10604610,BV10604610,金屿,119.199991,26.067353,119.199991,26.067353,119.19517874103886,26.070449754619403,719590.3708424235,2885335.036692562,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_005_ccb3d372,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,5,BV10604609,BV10604609,福州大学,119.20348,26.058382,119.20348,26.058382,119.19867453468065,26.061478165057206,719956.9407752933,2884346.925948824,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_006_a14d1226,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,6,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328,119.207305,26.041328,119.20250718174273,26.04441829027744,720372.406158671,2882463.2502086,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_007_4a50937b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,7,BV10210914,BV10210914,厚庭,119.214929,26.04133,119.214929,26.04133,119.21014267568918,26.044430393735936,721136.5887649124,2882477.5184631967,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_008_7a52aaae,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,8,BV10210915,BV10210915,桔园洲,119.242783,26.046869,119.242783,26.046869,119.2380214007767,26.04999433742243,723916.2975102611,2883141.5655733002,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_009_a20eb391,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,9,BV10210916,BV10210916,洪湾,119.250071,26.047386,119.250071,26.047386,119.24531095746518,26.050512601479937,724644.8668653693,2883211.529247712,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_010_8d806ffb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,10,BV10210917,BV10210917,金山,119.262331,26.047449,119.262331,26.047449,119.2575687479596,26.050572639803818,725871.5434214587,2883239.363072673,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_011_bdcd334f,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,11,BV10210918,BV10210918,金祥,119.271125,26.048518,119.271125,26.048518,119.2663574072792,26.051636782743657,726749.0896253064,2883372.5261900555,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_012_ddc38c30,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,12,BV10210919,BV10210919,祥坂,119.286022,26.060749,119.286022,26.060749,119.28123816764668,26.06386058084247,728214.694329964,2884752.879967331,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_013_c0d479be,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,13,BV10210920,BV10210920,宁化,119.293343,26.06265,119.293343,26.06265,119.28854891330907,26.065752848050764,728942.6186038142,2884975.367712733,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_014_1be52ed0,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,14,BV10210921,BV10210921,西洋,119.296889,26.071661,119.296889,26.071661,119.29208882139781,26.074764543339516,729279.2979348068,2885980.0848209932,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_015_47e9d24b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,15,BV10210902,BV10210902,南门兜,119.303745,26.076251,119.303745,26.076251,119.29893318519119,26.079346504688104,729955.2121088073,2886499.8330534524,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_016_00acb2eb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,16,BV10210922,BV10210922,水部,119.314169,26.076428,119.314169,26.076428,119.30933839173069,26.079505185133403,730996.0486289514,2886535.831470923,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_017_3f914008,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,17,BV10604608,BV10604608,紫阳,119.327173,26.076378,119.327173,26.076378,119.32231746643991,26.079430618680554,732294.8910528702,2886550.6584701426,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020745_018_1a9beab1,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,18,BV10210923,BV10210923,五里亭,119.340276,26.074265,119.340276,26.074265,119.33539559636996,26.077291369945005,733607.7555821054,2886337.0223909356,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
