correction_status,departure_count,direction_from,direction_index,direction_tab_label,direction_to,directions_collected,expand_action,fare,fix_full_line_query,latest_departure_text,merge_source,message,note,observed_line,query,rule_count,scrolls,service_end,service_start,snapshot_file,source_query,status,target_end_stop,target_line_id,target_line_name,target_query,target_start_stop
,77,金山公交总站,1.0,金山公交总站→上柳路北,上柳路北,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交111路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,111路,111路,0,24,,,dir_1_pre_00.xml,,ok,金山公交总站,350100000000.0,111路(上柳路北--金山公交总站),111路,上柳路北
,60,上柳路北,2.0,上柳路北→金山公交总站,金山公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交111路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,111路,111路,0,24,,,dir_2_pre_00.xml,,ok,金山公交总站,350100000000.0,111路(上柳路北--金山公交总站),111路,上柳路北
,74,廨院公交总站,1.0,廨院公交总站→洪山梁厝路,洪山梁厝路,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交112路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,112路,112路,1,24,,,dir_1_pre_00.xml,,ok,廨院公交总站,350100000000.0,112路(洪山梁厝路--廨院公交总站),112路,洪山梁厝路
,73,洪山梁厝路,2.0,洪山梁厝路→廨院公交总站,廨院公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交112路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,112路,112路,1,24,,,dir_2_pre_00.xml,,ok,廨院公交总站,350100000000.0,112路(洪山梁厝路--廨院公交总站),112路,洪山梁厝路
,76,上渡滨洲,1.0,上渡滨洲→廨院公交总站,廨院公交总站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00;expanded:00:00-06:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交115路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,115路,115路,0,25,,,dir_1_pre_00.xml,,ok,上渡滨洲,350100000000.0,115路(廨院公交总站--上渡滨洲),115路,廨院公交总站
,75,廨院公交总站,2.0,廨院公交总站→上渡滨洲,上渡滨洲,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交115路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,115路,115路,0,25,,,dir_2_pre_00.xml,,ok,上渡滨洲,350100000000.0,115路(廨院公交总站--上渡滨洲),115路,廨院公交总站
,95,动物园,1.0,动物园→金山浦上公交枢纽站,金山浦上公交枢纽站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交117路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,117路,117路,0,24,,,dir_1_pre_00.xml,,ok,动物园,350100000000.0,117路(金山浦上公交枢纽站--动物园),117路,金山浦上公交枢纽站
,68,金山浦上公交枢纽站,2.0,金山浦上公交枢纽站→动物园,动物园,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交117路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,117路,117路,0,24,,,dir_2_pre_00.xml,,ok,动物园,350100000000.0,117路(金山浦上公交枢纽站--动物园),117路,金山浦上公交枢纽站
,88,公交鹤林站,1.0,公交鹤林站→金山公交总站,金山公交总站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交118路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,118路,118路,0,24,,,dir_1_pre_00.xml,,ok,公交鹤林站,350100000000.0,118路(金山公交总站--公交鹤林站),118路,金山公交总站
,94,金山公交总站,2.0,金山公交总站→公交鹤林站,公交鹤林站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交118路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,118路,118路,0,24,,,dir_2_pre_00.xml,,ok,公交鹤林站,350100000000.0,118路(金山公交总站--公交鹤林站),118路,金山公交总站
,0,地铁斗门,1.0,地铁斗门→金山公交总站,金山公交总站,2.0,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交121路;entry=visible_result,,1号线,121路,3,26,22:10,06:00,dir_1_pre_00.xml,,ok,水头,350100000000.0,121路(敬老线路)(金山公交总站--水头),121路,金山公交总站
,75,金山公交总站,2.0,金山公交总站→水头,水头,,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交121路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,1号线,121路,0,26,,,dir_2_pre_00.xml,,ok,水头,350100000000.0,121路(敬老线路)(金山公交总站--水头),121路,金山公交总站
