poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV10210524,为民路口(公交站),为民路口,交通设施服务;公交车站;公交车站相关,150700,118路;121路(敬老线路);133路;313路;329路;42路;79路;东部10号线;地铁接驳8号专线;地铁江南水都接驳专线,福建省,福州市,仓山区,119.270167,26.044875,119.2654004,26.04798804,726660.3331,2882966.588,TRUE,TRUE,L0_006_003,2,1,为民路口_01045,FALSE,TRUE,3204.684502
BV10210680,螺洲路口(公交站),螺洲路口,交通设施服务;公交车站;公交车站相关,150700,176路(敬老线路),福建省,福州市,仓山区,119.351701,25.997342,119.3468062,26.00029211,734903.0327,2877825.887,TRUE,TRUE,L0_009_001,1,1,螺洲路口_01046,FALSE,TRUE,1965.817742
BV10210681,鳌山村口(公交站),鳌山村口,交通设施服务;公交车站;公交车站相关,150700,176路(敬老线路),福建省,福州市,仓山区,119.347953,25.995844,119.3430647,25.99879956,734531.3642,2877653.785,TRUE,TRUE,L0_008_001;L0_009_001,1,2,鳌山村口_01047,FALSE,TRUE,1726.675019
BV10210682,下洲村口(公交站),下洲村口,交通设施服务;公交车站;公交车站相关,150700,176路(敬老线路),福建省,福州市,仓山区,119.322345,25.9891,119.3175054,25.99209885,731985.2795,2876865.695,TRUE,TRUE,L0_007_001;L0_008_001,1,2,下洲村口_01048,FALSE,TRUE,726.8379474
BV10210683,天水村口(公交站),天水村口,交通设施服务;公交车站;公交车站相关,150700,176路(敬老线路),福建省,福州市,仓山区,119.296951,25.987325,119.292157,25.99036734,729450.3983,2876629.075,FALSE,TRUE,L0_007_001,1,1,天水村口_01049,FALSE,TRUE,231.9553705
BV10210684,六凤洲(公交站),六凤洲,交通设施服务;公交车站;公交车站相关,150700,176路(敬老线路),福建省,福州市,仓山区,119.290074,25.990638,119.28529,25.99369267,728756.3211,2876985.471,TRUE,TRUE,L0_006_001,1,1,六凤洲_01050,FALSE,TRUE,364.7299874
BV10210749,龙岭(公交站),龙岭,交通设施服务;公交车站;公交车站相关,150700,606路;607路,福建省,福州市,闽侯县,119.186088,26.162921,119.1812418,26.16605171,718018.1952,2895903.837,FALSE,TRUE,L0_002_008;L0_003_008,1,2,龙岭_01051,FALSE,TRUE,238.1576528
BV10210752,高铁桥下(公交站),高铁桥下,交通设施服务;公交车站;公交车站相关,150700,606路;607路,福建省,福州市,闽侯县,119.180984,26.177732,119.1761262,26.18086243,717479.229,2897536.217,FALSE,FALSE,L0_002_008,1,1,高铁桥下_01052,FALSE,TRUE,1772.672175
BV10210753,关东村委(公交站),关东村委,交通设施服务;公交车站;公交车站相关,150700,606路;607路,福建省,福州市,闽侯县,119.180898,26.179115,119.1760399,26.18224611,717468.0332,2897689.378,FALSE,FALSE,L0_002_008,1,1,关东村委_01053,FALSE,TRUE,1926.046386
BV10210763,科技一路(公交站),科技一路,交通设施服务;公交车站;公交车站相关,150700,172路;173路;336路;551路;598路;750路,福建省,福州市,闽侯县,119.216509,26.037899,119.2117251,26.04099496,721301.4211,2882099.573,FALSE,FALSE,L0_004_002;L0_004_003,1,2,科技一路_01056,FALSE,TRUE,1904.576179
