line_id,route_id,links_before,links_after,removed_prefix,removed_suffix,index_warnings
bus_line_350100010328,bus_route_350100010328,225,225,0,0,0
bus_line_350100010329,bus_route_350100010329,214,214,0,0,0
bus_line_350100010330,bus_route_350100010330,167,167,0,0,0
bus_line_350100010331,bus_route_350100010331,633,633,0,0,0
bus_line_350100010332,bus_route_350100010332,485,485,0,0,0
bus_line_350100010335,bus_route_350100010335,184,183,0,1,0
bus_line_350100010336,bus_route_350100010336,140,140,0,0,0
bus_line_350100010337,bus_route_350100010337,234,233,0,1,0
bus_line_350100010338,bus_route_350100010338,303,303,0,0,0
bus_line_350100010342,bus_route_350100010342,299,298,0,1,0
bus_line_350100010345,bus_route_350100010345,305,305,0,0,0
bus_line_350100010346,bus_route_350100010346,445,444,0,1,0
bus_line_350100010347,bus_route_350100010347,318,317,0,1,0
bus_line_350100010348,bus_route_350100010348,422,422,0,0,0
bus_line_350100010351,bus_route_350100010351,456,408,48,0,0
bus_line_350100010352,bus_route_350100010352,414,414,0,0,0
bus_line_350100010353,bus_route_350100010353,410,406,0,4,0
bus_line_350100010354,bus_route_350100010354,493,493,0,0,0
bus_line_350100010355,bus_route_350100010355,558,557,0,1,0
bus_line_350100010356,bus_route_350100010356,253,253,0,0,0
bus_line_350100010357,bus_route_350100010357,199,199,0,0,0
bus_line_350100010358,bus_route_350100010358,107,102,5,0,0
bus_line_350100010359,bus_route_350100010359,107,107,0,0,0
bus_line_350100010362,bus_route_350100010362,158,158,0,0,0
bus_line_350100010363,bus_route_350100010363,180,180,0,0,0
bus_line_350100010365,bus_route_350100010365,399,399,0,0,0
bus_line_350100010366,bus_route_350100010366,370,370,0,0,0
bus_line_350100010371,bus_route_350100010371,168,168,0,0,0
bus_line_350100010372,bus_route_350100010372,117,116,0,1,0
bus_line_350100010373,bus_route_350100010373,209,208,0,1,0
bus_line_350100010374,bus_route_350100010374,117,117,0,0,0
bus_line_350100010376,bus_route_350100010376,158,158,0,0,0
bus_line_350100010379,bus_route_350100010379,183,183,0,0,0
bus_line_350100010380,bus_route_350100010380,573,573,0,0,0
bus_line_350100010393,bus_route_350100010393,58,58,0,0,0
bus_line_350100010394,bus_route_350100010394,235,235,0,0,0
bus_line_350100010397,bus_route_350100010397,167,167,0,0,0
bus_line_350100010398,bus_route_350100010398,178,177,0,1,0
bus_line_350100010399,bus_route_350100010399,134,134,0,0,0
bus_line_350100010403,bus_route_350100010403,915,914,0,1,0
bus_line_350100010404,bus_route_350100010404,903,903,0,0,0
bus_line_350100010405,bus_route_350100010405,402,402,0,0,0
bus_line_350100010406,bus_route_350100010406,349,349,0,0,0
bus_line_350100010407,bus_route_350100010407,298,298,0,0,0
bus_line_350100010408,bus_route_350100010408,388,388,0,0,0
bus_line_350100010413,bus_route_350100010413,33,33,0,0,0
bus_line_350100010416,bus_route_350100010416,42,41,0,1,0
bus_line_350100010423,bus_route_350100010423,219,213,0,6,0
bus_line_350100010424,bus_route_350100010424,157,151,6,0,0
bus_line_350100010427,bus_route_350100010427,192,192,0,0,0
bus_line_350100010428,bus_route_350100010428,545,544,0,1,0
bus_line_350100010429,bus_route_350100010429,203,203,0,0,0
bus_line_350100010430,bus_route_350100010430,319,319,0,0,0
bus_line_350100010433,bus_route_350100010433,142,135,6,1,0
bus_line_350100010434,bus_route_350100010434,160,154,0,6,0
bus_line_350100010435,bus_route_350100010435,98,98,0,0,0
bus_line_350100010436,bus_route_350100010436,77,77,0,0,0
bus_line_350100010437,bus_route_350100010437,399,399,0,0,0
bus_line_350100010438,bus_route_350100010438,370,261,0,109,0
bus_line_350100010439,bus_route_350100010439,423,423,0,0,0
bus_line_350100010440,bus_route_350100010440,369,368,0,1,0
bus_line_350100010489,bus_route_350100010489,582,582,0,0,0
bus_line_350100010490,bus_route_350100010490,679,677,0,2,0
bus_line_350100010491,bus_route_350100010491,77,70,6,1,0
bus_line_350100010492,bus_route_350100010492,338,336,0,2,0
bus_line_350100010493,bus_route_350100010493,90,84,0,6,0
bus_line_350100010494,bus_route_350100010494,521,521,0,0,0
bus_line_350100010495,bus_route_350100010495,290,289,0,1,0
bus_line_350100010496,bus_route_350100010496,258,257,0,1,0
bus_line_350100010501,bus_route_350100010501,172,172,0,0,0
bus_line_350100010502,bus_route_350100010502,181,181,0,0,0
bus_line_350100010503,bus_route_350100010503,848,848,0,0,0
bus_line_350100010504,bus_route_350100010504,574,573,0,1,0
bus_line_350100010505,bus_route_350100010505,571,571,0,0,0
bus_line_350100010506,bus_route_350100010506,225,225,0,0,0
bus_line_350100010507,bus_route_350100010507,220,111,0,109,0
bus_line_350100010508,bus_route_350100010508,358,358,0,0,0
bus_line_350100010509,bus_route_350100010509,463,462,0,1,0
bus_line_350100010510,bus_route_350100010510,207,206,0,1,0
bus_line_350100010511,bus_route_350100010511,231,231,0,0,0
bus_line_350100010512,bus_route_350100010512,578,578,0,0,0
bus_line_350100010513,bus_route_350100010513,557,556,0,1,0
bus_line_350100010514,bus_route_350100010514,580,580,0,0,0
bus_line_350100010516,bus_route_350100010516,285,284,0,1,0
bus_line_350100010517,bus_route_350100010517,348,348,0,0,0
bus_line_350100010518,bus_route_350100010518,279,279,0,0,0
bus_line_350100010519,bus_route_350100010519,254,214,0,40,0
bus_line_350100010523,bus_route_350100010523,219,219,0,0,0
bus_line_350100010586,bus_route_350100010586,45,45,0,0,0
bus_line_350100010587,bus_route_350100010587,128,128,0,0,0
bus_line_350100010598,bus_route_350100010598,115,115,0,0,0
bus_line_350100010599,bus_route_350100010599,142,142,0,0,0
bus_line_350100010617,bus_route_350100010617,191,185,0,6,0
bus_line_350100010618,bus_route_350100010618,189,183,6,0,0
bus_line_350100010619,bus_route_350100010619,196,186,0,10,0
bus_line_350100010620,bus_route_350100010620,166,165,0,1,0
bus_line_350100010622,bus_route_350100010622,286,260,0,26,0
bus_line_350100010623,bus_route_350100010623,681,656,25,0,0
bus_line_350100010624,bus_route_350100010624,365,365,0,0,0
bus_line_350100010625,bus_route_350100010625,375,374,0,1,0
bus_line_350100010628,bus_route_350100010628,128,128,0,0,0
bus_line_350100010629,bus_route_350100010629,155,155,0,0,0
bus_line_350100010688,bus_route_350100010688,134,134,0,0,0
bus_line_350100010689,bus_route_350100010689,148,148,0,0,0
bus_line_350100010690,bus_route_350100010690,193,193,0,0,0
bus_line_350100010691,bus_route_350100010691,113,113,0,0,0
bus_line_350100010692,bus_route_350100010692,65,65,0,0,0
bus_line_350100010693,bus_route_350100010693,98,98,0,0,0
bus_line_350100010728,bus_route_350100010728,95,93,0,2,0
bus_line_350100010729,bus_route_350100010729,89,89,0,0,0
bus_line_350100010731,bus_route_350100010731,164,164,0,0,0
bus_line_350100010732,bus_route_350100010732,103,103,0,0,0
bus_line_350100010734,bus_route_350100010734,164,164,0,0,0
bus_line_350100010737,bus_route_350100010737,111,111,0,0,0
bus_line_350100010738,bus_route_350100010738,610,610,0,0,0
bus_line_350100010739,bus_route_350100010739,726,726,0,0,0
bus_line_350100010742,bus_route_350100010742,180,174,0,6,0
bus_line_350100010743,bus_route_350100010743,194,188,6,0,0
bus_line_350100010761,bus_route_350100010761,93,8,0,85,0
bus_line_350100010762,bus_route_350100010762,149,48,81,20,0
bus_line_350100010767,bus_route_350100010767,130,130,0,0,0
bus_line_350100010779,bus_route_350100010779,329,329,0,0,0
bus_line_350100010780,bus_route_350100010780,283,282,0,1,0
bus_line_900000000888,bus_route_900000000888,139,139,0,0,0
bus_line_900000000889,bus_route_900000000889,135,134,0,1,0
bus_line_900000025642,bus_route_900000025642,248,247,0,1,0
bus_line_900000028084,bus_route_900000028084,74,74,0,0,0
