fare_scope,operator,official_route_id,official_route_sequence,official_direction,official_stop_ids_json,route_name,full_fare_hkd,currency,passenger_type,payment_medium,service_class,vessel_service_type,day_type,fare_amount_role,eligible_for_default_quote,in_current_schedule_exact_scope,gtfs_rule_count,gtfs_distinct_price_count,gtfs_price_equal_full_fare_count,gtfs_full_fare_correspondence,source_record_last_update,source_record_id,source_file,source_sha256,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,unresolved_reason
route_level_full_fare_reference_only,FERRY,7020,2,2,"[""101112"",""101110""]",North Point - Kowloon City,10.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2025-01-24T00:00:00,json:feature_indices:71;72,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7021,1,1,"[""101349"",""101320"",""101355""]",North Point - Kwun Tong - Kai Tak,8.3,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,1,3,all_equal,2023-09-04T00:00:00,json:feature_indices:73;74;75,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7021,2,2,"[""101355"",""101320"",""101349""]",North Point - Kwun Tong - Kai Tak,8.3,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,3,1,3,all_equal,2023-09-04T00:00:00,json:feature_indices:76;77;78,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7022,1,1,"[""101321"",""101320""]",Sai Wan Ho - Kwun Tong,9.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2021-08-11T00:00:00,json:feature_indices:79;80,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7022,2,2,"[""101320"",""101321""]",Sai Wan Ho - Kwun Tong,9.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2021-08-11T00:00:00,json:feature_indices:81;82,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7023,1,1,"[""101321"",""101322""]",Sai Wan Ho - Sam Ka Tsuen,9.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2026-07-06T00:00:00,json:feature_indices:83;84,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7023,2,2,"[""101322"",""101321""]",Sai Wan Ho - Sam Ka Tsuen,9.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,1,1,1,all_equal,2026-07-06T00:00:00,json:feature_indices:85;86,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7025,1,1,"[""101113"",""101114"",""101117"",""101120""]",Tuen Mun - Tung Chung - Sha Lo Wan - Tai O,27.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,6,4,0,none_equal,2025-12-12T00:00:00,json:feature_indices:87;88;89;90,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7025,2,2,"[""101120"",""101117"",""101114"",""101113""]",Tuen Mun - Tung Chung - Sha Lo Wan - Tai O,27.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,True,6,4,0,none_equal,2025-12-12T00:00:00,json:feature_indices:91;92;93;94,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7026,1,1,"[""101133"",""101136"",""101137"",""101134""]",Ma Liu Shui - Tap Mun,30.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,6,1,0,none_equal,2026-03-02T00:00:00,json:feature_indices:95;96;97;98,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
route_level_full_fare_reference_only,FERRY,7026,2,2,"[""101134"",""101137"",""101136"",""101133""]",Ma Liu Shui - Tap Mun,30.0,HKD,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,route_level_full_fare_reference_only,False,False,6,1,0,none_equal,2026-03-02T00:00:00,json:feature_indices:99;100;101;102,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,not_stop_od_and_source_conditions_unspecified
