matsim_stop_facility_id,official_stop_id,official_stop_name,gtfs_stop_id,in_ferry_facilities,in_gtfs,in_ferry_json,matsim_route_count,candidate_count,candidate_cardinality,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
ferry_stop_ferry_7025_a84f20059d_00,101120,"Tai O Promenade Landing Steps, Tai O Promenade, Lantau Island",101120,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101120"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_a84f20059d_01,101117,"Sha Lo Wan Pier, Lantau Island",101117,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101117"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_a84f20059d_02,101114,Eastern berth of Tung Chung Development Pier,101114,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101114"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7025_a84f20059d_03,101113,Tuen Mun Ferry Pier (Berth D) (outside Pierhead Garden),101113,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101113"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7030_2d66424e12_00,101119,Star Ferry Pier at Salisbury Road,101119,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101119"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7030_2d66424e12_01,101339,Central Pier No.7 at Man Kwong Street,101339,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101339"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7030_9bd5abcda9_00,101339,Central Pier No.7 at Man Kwong Street,101339,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101339"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7030_9bd5abcda9_01,101119,Star Ferry Pier at Salisbury Road,101119,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101119"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7031_6c6de89769_00,101119,Star Ferry Pier at Salisbury Road,101119,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101119"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7031_6c6de89769_01,101118,Wan Chai Ferry Pier at Hung Hing Road,101118,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101118"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7031_9f1e460aa7_00,101118,Wan Chai Ferry Pier at Hung Hing Road,101118,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101118"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7031_9f1e460aa7_01,101119,Star Ferry Pier at Salisbury Road,101119,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101119"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7051_2ddd529580_00,101331,Pontoon at Ap Lei Chau (outside Marina Habitat),101331,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101331"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7051_2ddd529580_01,101332,Aberdeen (Landing step outside Aberdeen Promenade),101332,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101332"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7051_367ae765b3_00,101332,Aberdeen (Landing step outside Aberdeen Promenade),101332,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101332"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7051_367ae765b3_01,101331,Pontoon at Ap Lei Chau (outside Marina Habitat),101331,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101331"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7052_60fd551964_00,101331,Pontoon at Ap Lei Chau (outside Marina Habitat),101331,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101331"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7052_60fd551964_01,101333,Stationary vessel outside Aberdeen Wholesale Fish Market,101333,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101333"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7052_e84096da97_00,101333,Stationary vessel outside Aberdeen Wholesale Fish Market,101333,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101333"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7052_e84096da97_01,101331,Pontoon at Ap Lei Chau (outside Marina Habitat),101331,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101331"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7056_6bcf536836_00,101320,Kwun Tong Ferry Pier at Wing Yip Street|Kwun Tong Ferry Pier at Wing Yip Street (Eastern Berth),101320,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101320"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7056_6bcf536836_01,101349,North Point (East) Ferry Pier (near North Point Promenade),101349,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101349"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7056_768b8ed563_00,101349,North Point (East) Ferry Pier (near North Point Promenade),101349,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101349"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7056_768b8ed563_01,101320,Kwun Tong Ferry Pier at Wing Yip Street|Kwun Tong Ferry Pier at Wing Yip Street (Eastern Berth),101320,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101320"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7059_0d609e5148_00,101357,Hung Hom (South) Ferry Pier,101357,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101357"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7059_0d609e5148_01,101358,Central Pier No. 8 (Western Berth),101358,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101358"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7059_582eb1e4c7_00,101358,Central Pier No. 8 (Western Berth),101358,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101358"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7059_582eb1e4c7_01,101357,Hung Hom (South) Ferry Pier,101357,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101357"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
