station_id,station_code,station_name_en,line_codes,in_domestic_fare_matrix,in_airport_express_fare_matrix,in_schedule,schedule_facility_count,schedule_facility_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
15,KWT,Kwun Tong,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_KWT__b54ed23bfb_003"",""pt_mtr_KTL_SHORT-DT_KWT__7042215d45_003"",""pt_mtr_KTL_SHORT-UT_KWT__b1d4e0b499_012"",""pt_mtr_KTL_UT_KWT__6f5be7b0c5_013""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
16,PRE,Prince Edward,KTL;TWL,True,False,True,6,"[""pt_mtr_KTL_DT_PRE__b54ed23bfb_012"",""pt_mtr_KTL_SHORT-DT_PRE__7042215d45_012"",""pt_mtr_KTL_SHORT-UT_PRE__b1d4e0b499_003"",""pt_mtr_KTL_UT_PRE__6f5be7b0c5_004"",""pt_mtr_TWL_DT_PRE__df5f9b6d0f_009"",""pt_mtr_TWL_UT_PRE__ec9516a8bf_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
17,SSP,Sham Shui Po,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_SSP__df5f9b6d0f_008"",""pt_mtr_TWL_UT_SSP__ec9516a8bf_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
18,CSW,Cheung Sha Wan,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_CSW__df5f9b6d0f_007"",""pt_mtr_TWL_UT_CSW__ec9516a8bf_008""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
19,LCK,Lai Chi Kok,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_LCK__df5f9b6d0f_006"",""pt_mtr_TWL_UT_LCK__ec9516a8bf_009""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
20,MEF,Mei Foo,TML;TWL,True,False,True,4,"[""pt_mtr_TML_DT_MEF__b4d6b9d7a8_007"",""pt_mtr_TML_UT_MEF__5c2c425eca_019"",""pt_mtr_TWL_DT_MEF__df5f9b6d0f_005"",""pt_mtr_TWL_UT_MEF__ec9516a8bf_010""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
21,LAK,Lai King,TCL;TWL,True,False,True,5,"[""pt_mtr_TCL_DT_LAK__ec6070b94b_003"",""pt_mtr_TCL_SHORT-DT_LAK__2f5f5b71df_002"",""pt_mtr_TCL_UT_LAK__46732d33f8_004"",""pt_mtr_TWL_DT_LAK__df5f9b6d0f_004"",""pt_mtr_TWL_UT_LAK__ec9516a8bf_011""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
22,KWF,Kwai Fong,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_KWF__df5f9b6d0f_003"",""pt_mtr_TWL_UT_KWF__ec9516a8bf_012""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
23,KWH,Kwai Hing,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_KWH__df5f9b6d0f_002"",""pt_mtr_TWL_UT_KWH__ec9516a8bf_013""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
24,TWH,Tai Wo Hau,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_TWH__df5f9b6d0f_001"",""pt_mtr_TWL_UT_TWH__ec9516a8bf_014""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
25,TSW,Tsuen Wan,TWL,True,False,True,2,"[""pt_mtr_TWL_DT_TSW__df5f9b6d0f_000"",""pt_mtr_TWL_UT_TSW__ec9516a8bf_015""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
26,SHW,Sheung Wan,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_SHW__8371e9640e_013"",""pt_mtr_ISL_UT_SHW__b8843dd1dc_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
27,WAC,Wan Chai,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_WAC__8371e9640e_010"",""pt_mtr_ISL_UT_WAC__b8843dd1dc_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
28,CAB,Causeway Bay,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_CAB__8371e9640e_009"",""pt_mtr_ISL_UT_CAB__b8843dd1dc_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
29,TIH,Tin Hau,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_TIH__8371e9640e_008"",""pt_mtr_ISL_UT_TIH__b8843dd1dc_008""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
30,FOH,Fortress Hill,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_FOH__8371e9640e_007"",""pt_mtr_ISL_UT_FOH__b8843dd1dc_009""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
31,NOP,North Point,ISL;TKL,True,False,True,6,"[""pt_mtr_ISL_DT_NOP__8371e9640e_006"",""pt_mtr_ISL_UT_NOP__b8843dd1dc_010"",""pt_mtr_TKL_DT_NOP__a600e9191d_006"",""pt_mtr_TKL_LHP-DT_NOP__a7f3b8b24d_005"",""pt_mtr_TKL_LHP-UT_NOP__3a6a230269_000"",""pt_mtr_TKL_UT_NOP__0f0c38b5ff_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
32,QUB,Quarry Bay,ISL;TKL,True,False,True,6,"[""pt_mtr_ISL_DT_QUB__8371e9640e_005"",""pt_mtr_ISL_UT_QUB__b8843dd1dc_011"",""pt_mtr_TKL_DT_QUB__a600e9191d_005"",""pt_mtr_TKL_LHP-DT_QUB__a7f3b8b24d_004"",""pt_mtr_TKL_LHP-UT_QUB__3a6a230269_001"",""pt_mtr_TKL_UT_QUB__0f0c38b5ff_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
33,TAK,Tai Koo,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_TAK__8371e9640e_004"",""pt_mtr_ISL_UT_TAK__b8843dd1dc_012""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
34,SWH,Sai Wan Ho,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_SWH__8371e9640e_003"",""pt_mtr_ISL_UT_SWH__b8843dd1dc_013""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
35,SKW,Shau Kei Wan,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_SKW__8371e9640e_002"",""pt_mtr_ISL_UT_SKW__b8843dd1dc_014""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
36,HFC,Heng Fa Chuen,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_HFC__8371e9640e_001"",""pt_mtr_ISL_UT_HFC__b8843dd1dc_015""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
37,CHW,Chai Wan,ISL,True,False,True,2,"[""pt_mtr_ISL_DT_CHW__8371e9640e_000"",""pt_mtr_ISL_UT_CHW__b8843dd1dc_016""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
38,LAT,Lam Tin,KTL,True,False,True,4,"[""pt_mtr_KTL_DT_LAT__b54ed23bfb_002"",""pt_mtr_KTL_SHORT-DT_LAT__7042215d45_002"",""pt_mtr_KTL_SHORT-UT_LAT__b1d4e0b499_013"",""pt_mtr_KTL_UT_LAT__6f5be7b0c5_014""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
39,HOK,Hong Kong,TCL,True,False,True,4,"[""pt_mtr_TCL_DT_HOK__ec6070b94b_007"",""pt_mtr_TCL_SHORT-DT_HOK__2f5f5b71df_006"",""pt_mtr_TCL_SHORT-UT_HOK__af8ec1022a_000"",""pt_mtr_TCL_UT_HOK__46732d33f8_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
40,KOW,Kowloon,TCL,True,False,True,4,"[""pt_mtr_TCL_DT_KOW__ec6070b94b_006"",""pt_mtr_TCL_SHORT-DT_KOW__2f5f5b71df_005"",""pt_mtr_TCL_SHORT-UT_KOW__af8ec1022a_001"",""pt_mtr_TCL_UT_KOW__46732d33f8_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
41,OLY,Olympic,TCL,True,False,True,4,"[""pt_mtr_TCL_DT_OLY__ec6070b94b_005"",""pt_mtr_TCL_SHORT-DT_OLY__2f5f5b71df_004"",""pt_mtr_TCL_SHORT-UT_OLY__af8ec1022a_002"",""pt_mtr_TCL_UT_OLY__46732d33f8_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
42,TSY,Tsing Yi,TCL,True,False,True,3,"[""pt_mtr_TCL_DT_TSY__ec6070b94b_002"",""pt_mtr_TCL_SHORT-DT_TSY__2f5f5b71df_001"",""pt_mtr_TCL_UT_TSY__46732d33f8_005""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
