scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
base,personal_business>dining,258.0,5160.0,26551.6,531032.0,102.91317829457364,98.3,29.0,52.1,131.55,175.72000000000003,213.7299999999999,0.11627906976744186,0.0,0.011627906976744186,0.0,1.0
base,personal_business>leisure,174.0,3480.0,21646.200000000004,432924.0000000001,124.40344827586209,110.7,37.4,75.2,157.1,237.06000000000014,281.28,0.05747126436781609,0.0,0.034482758620689655,0.0,1.0
base,personal_business>medical,63.0,1260.0,6624.999999999999,132499.99999999997,105.15873015873015,111.9,34.040000000000006,58.400000000000006,130.5,189.3,198.82,0.06349206349206349,0.0,0.0,0.0,1.0
base,personal_business>personal_business,15.0,300.0,2427.9,48558.0,161.86,175.3,86.96,103.19999999999999,218.7,255.94,259.72,0.0,0.0,0.0,0.0,1.0
base,personal_business>shopping,300.0,6000.0,34658.8,693176.0,115.52933333333334,110.9,33.2,60.5,147.3,198.1200000000001,267.91,0.07333333333333333,0.0,0.02,0.0,1.0
base,personal_business>social,111.0,2220.0,12697.4,253948.0,114.39099099099099,110.9,37.4,58.4,143.8,213.1,246.7,0.06306306306306306,0.0,0.02702702702702703,0.0,1.0
base,school_kindergarten,176.0,3520.0,8579.8,171596.0,48.74886363636363,35.3,25.5,29.0,58.4,89.0,105.0,0.3522727272727273,0.0,0.0,0.0,1.0
base,school_primary,362.0,7240.0,19794.699999999997,395893.99999999994,54.68149171270717,38.8,25.5,29.0,71.0,107.82000000000009,131.82999999999998,0.2983425414364641,0.0,0.022099447513812154,0.0,1.0
base,school_secondary,382.0,7640.0,37969.0,759380.0,99.39528795811518,78.94999999999999,29.0,39.5,131.9,203.16000000000005,259.15999999999997,0.13612565445026178,0.0,0.015706806282722512,0.0,1.0
base,school_special,4.0,80.0,200.0,4000.0,50.0,48.95,29.0,29.0,69.95,71.84,72.47,0.5,0.0,0.0,0.0,1.0
base,shopping,3356.0,67120.0,358799.9,7175998.0,106.91296185935639,102.5,29.5,58.4,137.5,183.7,234.1,0.09117997616209773,0.0,0.009535160905840286,0.0,1.0
base,shopping>dining,1233.0,24660.0,136883.09999999998,2737661.9999999995,111.016301703163,103.9,31.1,62.6,138.9,197.7,250.9,0.0908353609083536,0.0,0.0267639902676399,0.0,1.0
base,shopping>leisure,804.0,16080.0,89562.79999999999,1791255.9999999998,111.39651741293531,108.1,35.3,64.7,141.7,190.7,231.0899999999999,0.0708955223880597,0.0,0.014925373134328358,0.0,1.0
base,shopping>medical,264.0,5280.0,27186.1,543722.0,102.9776515151515,100.55000000000001,31.1,56.3,129.1,178.8,212.54999999999998,0.09848484848484848,0.0,0.022727272727272728,0.0,1.0
base,shopping>personal_business,396.0,7920.0,43439.8,868796.0,109.69646464646465,103.9,33.2,62.6,144.85,185.8,226.04999999999998,0.08333333333333333,0.0,0.030303030303030304,0.0,1.0
base,shopping>shopping,327.0,6540.0,38521.6,770432.0,117.80305810397553,106.7,31.1,66.8,150.8,220.38000000000014,269.7999999999999,0.09480122324159021,0.0,0.03669724770642202,0.0,1.0
base,shopping>social,555.0,11100.0,58788.9,1175778.0,105.92594594594595,98.3,29.0,52.1,138.9,199.94000000000003,242.5,0.10270270270270271,0.0,0.021621621621621623,0.0,1.0
base,social,1438.0,28760.0,158088.5,3161770.0,109.93636995827538,103.9,33.2,56.0,143.1,203.01999999999998,242.5,0.07927677329624479,0.0,0.009735744089012517,0.0,1.0
base,social>dining,423.0,8460.0,47267.0,945340.0,111.74231678486997,102.5,33.2,60.5,141.0,199.1,253.55999999999995,0.08037825059101655,0.0,0.014184397163120567,0.0,1.0
base,social>leisure,297.0,5940.0,35695.799999999996,713915.9999999999,120.18787878787877,113.7,42.86000000000001,73.1,151.5,200.90000000000003,251.17999999999998,0.05387205387205387,0.0,0.04040404040404041,0.0,1.0
base,social>medical,156.0,3120.0,16565.199999999997,331303.99999999994,106.18717948717946,98.3,35.3,71.0,134.7,176.7,237.25,0.07051282051282051,0.0,0.038461538461538464,0.0,1.0
base,social>personal_business,123.0,2460.0,13232.199999999999,264644.0,107.57886178861787,106.7,38.24,68.9,135.39999999999998,169.13999999999996,217.99999999999994,0.07317073170731707,0.0,0.0,0.0,1.0
base,social>shopping,486.0,9720.0,55651.3,1113026.0,114.50884773662553,105.3,33.150000000000006,63.125,145.25,201.7,260.35,0.09465020576131687,0.0,0.024691358024691357,0.0,1.0
base,social>social,66.0,1320.0,7607.099999999999,152142.0,115.2590909090909,111.6,30.05,53.675,151.5,208.2,234.1,0.10606060606060606,0.0,0.045454545454545456,0.0,1.0
