scenario,person_id,taxi_legs_5pct,daily_total_fare_hkd_5pct,expanded_daily_total_fare_hkd
low,hk_person_00138478,2,190.3,3806.0
low,hk_person_00138803,2,58.0,1160.0
low,hk_person_00139007,2,293.20000000000005,5864.000000000001
low,hk_person_00139123,3,298.4,5968.0
low,hk_person_00139495,2,129.4,2588.0
low,hk_person_00139641,3,124.8,2496.0
low,hk_person_00139874,3,248.70000000000002,4974.0
low,hk_person_00139928,2,129.4,2588.0
low,hk_person_00140444,3,492.3,9846.0
low,hk_person_00140462,3,202.5,4050.0
low,hk_person_00140808,2,58.0,1160.0
low,hk_person_00141114,3,325.0,6500.0
low,hk_person_00141376,2,249.8,4996.0
low,hk_person_00141377,2,129.4,2588.0
low,hk_person_00141383,3,208.8,4176.0
low,hk_person_00141732,2,241.4,4828.0
low,hk_person_00141768,2,276.4,5528.0
low,hk_person_00142445,2,310.0,6200.0
low,hk_person_00142822,3,353.7,7074.0
low,hk_person_00142914,2,233.0,4660.0
low,hk_person_00142917,3,601.5,12030.0
low,hk_person_00143754,2,231.6,4632.0
low,hk_person_00143755,2,146.2,2924.0
low,hk_person_00143795,2,196.60000000000002,3932.0000000000005
low,hk_person_00144305,2,213.39999999999998,4268.0
low,hk_person_00144337,2,230.2,4604.0
low,hk_person_00144996,2,127.30000000000001,2546.0
low,hk_person_00145171,2,83.2,1664.0
low,hk_person_00145203,2,160.9,3218.0
low,hk_person_00145473,5,367.6,7352.0
low,hk_person_00145853,2,287.6,5752.0
low,hk_person_00146115,2,58.0,1160.0
low,hk_person_00146129,2,468.2,9364.0
low,hk_person_00146224,3,593.1,11862.0
low,hk_person_00146332,2,169.3,3386.0
low,hk_person_00147228,3,154.2,3084.0
low,hk_person_00147233,2,546.6,10932.0
low,hk_person_00148611,3,397.1,7942.0
low,hk_person_00148977,3,103.80000000000001,2076.0
low,hk_person_00149160,2,304.4,6088.0
low,hk_person_00149178,2,213.39999999999998,4268.0
low,hk_person_00149411,2,129.4,2588.0
low,hk_person_00149647,2,144.1,2882.0
low,hk_person_00149904,2,137.8,2756.0
low,hk_person_00149946,2,354.79999999999995,7095.999999999999
low,hk_person_00149964,3,689.7,13794.0
low,hk_person_00150061,2,142.0,2840.0
low,hk_person_00150091,2,156.7,3134.0
low,hk_person_00150200,2,169.3,3386.0
low,hk_person_00150559,2,223.2,4464.0
low,hk_person_00150712,3,99.6,1992.0
low,hk_person_00151082,2,135.7,2714.0
low,hk_person_00151144,3,185.7,3714.0
low,hk_person_00151869,2,142.0,2840.0
low,hk_person_00152013,2,127.30000000000001,2546.0
low,hk_person_00152888,2,282.0,5640.0
low,hk_person_00152889,2,192.4,3848.0
low,hk_person_00153154,3,377.5,7550.0
low,hk_person_00153657,2,269.4,5388.0
low,hk_person_00153954,2,207.8,4156.0
low,hk_person_00154563,2,325.4,6508.0
low,hk_person_00154786,3,192.0,3840.0
low,hk_person_00154789,3,357.9,7158.0
low,hk_person_00155816,3,112.2,2244.0
low,hk_person_00156562,2,205.7,4114.0
low,hk_person_00156671,3,246.60000000000002,4932.0
low,hk_person_00156818,2,60.1,1202.0
low,hk_person_00157086,2,233.0,4660.0
low,hk_person_00157273,2,156.7,3134.0
low,hk_person_00157284,2,156.7,3134.0
low,hk_person_00157330,3,280.9,5618.0
low,hk_person_00157893,3,137.4,2748.0
low,hk_person_00158566,2,154.60000000000002,3092.0000000000005
low,hk_person_00158621,2,158.8,3176.0
low,hk_person_00158796,2,148.3,2966.0
low,hk_person_00159197,2,262.4,5248.0
low,hk_person_00159198,2,58.0,1160.0
low,hk_person_00159326,3,298.4,5968.0
low,hk_person_00159424,3,194.1,3882.0
low,hk_person_00159425,3,325.0,6500.0
low,hk_person_00159662,3,380.3,7606.0
low,hk_person_00160422,2,196.6,3932.0
low,hk_person_00160933,3,397.09999999999997,7941.999999999999
low,hk_person_00161160,2,116.80000000000001,2336.0
low,hk_person_00161222,2,252.6,5052.0
low,hk_person_00161469,2,163.0,3260.0
low,hk_person_00162010,2,186.1,3722.0
low,hk_person_00162126,3,181.5,3630.0
low,hk_person_00162307,3,290.7,5814.0
low,hk_person_00162444,3,312.40000000000003,6248.000000000001
low,hk_person_00162446,2,251.2,5024.0
low,hk_person_00163320,2,169.3,3386.0
