edge_id,from_lat_wgs84,from_lon_wgs84,from_sequence,from_station_id,from_station_name,line_id,line_name,to_lat_wgs84,to_lon_wgs84,to_sequence,to_station_id,to_station_name
350100010586_009_010,26.14668120602691,119.13774237541114,9,BV11374491,县实验中学,350100010586,707路(闽侯客运中心--鸿尾客运站),26.147639962652026,119.1338678963732,10,BV10490318,县交警大队
350100010586_010_011,26.147639962652026,119.1338678963732,10,BV10490318,县交警大队,350100010586,707路(闽侯客运中心--鸿尾客运站),26.15007095623351,119.12994666221013,11,BV11615211,长江村委
350100010586_011_012,26.15007095623351,119.12994666221013,11,BV11615211,长江村委,350100010586,707路(闽侯客运中心--鸿尾客运站),26.153124022191516,119.12543006022644,12,BV11608622,县法院
350100010586_012_013,26.153124022191516,119.12543006022644,12,BV11608622,县法院,350100010586,707路(闽侯客运中心--鸿尾客运站),26.15510782154153,119.11780878140834,13,BV10460604,闽侯大桥北桥头
350100010586_013_014,26.15510782154153,119.11780878140834,13,BV10460604,闽侯大桥北桥头,350100010586,707路(闽侯客运中心--鸿尾客运站),26.145513818246506,119.10612000831179,14,BV10563776,竹岐村
350100010586_014_015,26.145513818246506,119.10612000831179,14,BV10563776,竹岐村,350100010586,707路(闽侯客运中心--鸿尾客运站),26.147799504483384,119.10235904727003,15,BV10563789,竹岐小学
350100010586_015_016,26.147799504483384,119.10235904727003,15,BV10563789,竹岐小学,350100010586,707路(闽侯客运中心--鸿尾客运站),26.15631514897286,119.09110004691586,16,BV10209551,竹西村
350100010586_016_017,26.15631514897286,119.09110004691586,16,BV10209551,竹西村,350100010586,707路(闽侯客运中心--鸿尾客运站),26.16017767981615,119.08579227593957,17,BV10563782,张厝
350100010586_017_018,26.16017767981615,119.08579227593957,17,BV10563782,张厝,350100010586,707路(闽侯客运中心--鸿尾客运站),26.16283875301268,119.08042705579717,18,BV10563785,金岸蓝湖
350100010586_018_019,26.16283875301268,119.08042705579717,18,BV10563785,金岸蓝湖,350100010586,707路(闽侯客运中心--鸿尾客运站),26.162691951281534,119.06653754830644,19,BV09425578,园厝前(招呼站)
350100010586_019_020,26.162691951281534,119.06653754830644,19,BV09425578,园厝前(招呼站),350100010586,707路(闽侯客运中心--鸿尾客运站),26.162544451801782,119.06444757133612,20,BV10391496,文山下
350100010586_020_021,26.162544451801782,119.06444757133612,20,BV10391496,文山下,350100010586,707路(闽侯客运中心--鸿尾客运站),26.169461176176537,119.05535957878021,21,BV10922415,祥和加油站
350100010586_021_022,26.169461176176537,119.05535957878021,21,BV10922415,祥和加油站,350100010586,707路(闽侯客运中心--鸿尾客运站),26.168839214772156,119.04596763191395,22,BV10922417,世纪加油站
350100010586_022_023,26.168839214772156,119.04596763191395,22,BV10922417,世纪加油站,350100010586,707路(闽侯客运中心--鸿尾客运站),26.16695230864654,119.0425060871506,23,BV10922421,元格村口
