"YR_MTH","MODE","TTD_PTO_CODE","FRANCHISE_TYPE","RAIL_LINE","PAX","PAX_INDI"
"201412","Fran_Bus","KMB","","",80796.003,""
"201412","PLB","GMB","","",46298.003,""
"201412","PLB","RMB","","",10740.239,""
"201412","Railways","MTRC","","Airport",1381.97,""
"201412","Railways","MTRC","","LRT",14724.305,""
"201412","Railways","HKT","","",5369.073,""
"201412","Ferries","NWFF","","",1180.021,""
"201412","Ferries","STF","","",1986.331,""
"201412","Ferries","LFS","","",1130.341,""
"201412","TAX","TAX","","",29679.658,""
"201412","RS","RS","","",7280.193,""
"201412","Fran_Bus","NLB","","",2189.75,""
"201501","TAX","TAX","","",29370.467998,""
"201501","RS","RS","","",7420.248,""
"201501","LRB","LRB","","",4418.227,""
"201501","PLB","GMB","","",46397.376,""
"201501","PLB","RMB","","",10832.481,""
"201501","Ferries","NWFF","","",1192.461,""
"201501","Ferries","STF","","",1830.845,""
"201501","Ferries","LFS","","",1154.008,""
"201501","Fran_Bus","KMB","","",81628.66,""
"201501","Fran_Bus","CTB","1","",17079.529,""
"201501","Fran_Bus","CTB","2","",2331.634,""
"201501","Fran_Bus","NWFB","","",14377.626,""
"201501","Fran_Bus","LWB","","",2997.483,""
"201501","Fran_Bus","NLB","","",2206.307,""
"201501","Railways","MTRC","","Local",146183.963,""
"201501","Railways","MTRC","","Airport",1269.711,""
"201501","Railways","MTRC","","LRT",14758.325,""
"201501","Railways","HKT","","",5692.154,""
"201502","PLB","GMB","","",40856.975,""
"201502","PLB","RMB","","",9368.839,""
"201502","Ferries","NWFF","","",1169.64,""
"201502","Ferries","STF","","",1767.034,""
"201502","Ferries","LFS","","",1061.719,""
"201502","TAX","TAX","","",27330.094804,""
"201502","RS","RS","","",6497.45,""
"201502","LRB","LRB","","",3750.896,""
"201502","Fran_Bus","KMB","","",72864.534,""
"201502","Fran_Bus","CTB","1","",15484.102,""
"201502","Fran_Bus","CTB","2","",2088.181,""
"201502","Fran_Bus","NWFB","","",12953.836,""
"201502","Fran_Bus","LWB","","",2677.331,""
"201502","Fran_Bus","NLB","","",2064.965,""
"201502","Railways","MTRC","","Local",131256.082,""
"201502","Railways","MTRC","","Airport",1102.604,""
"201502","Railways","MTRC","","LRT",13065.009,""
"201502","Railways","HKT","","",5062.902,""
"201503","PLB","GMB","","",46751.163,""
"201503","PLB","RMB","","",10690.829,""
"201503","Ferries","NWFF","","",1256.402,""
"201503","Ferries","STF","","",1588.843,""
"201503","Ferries","LFS","","",1165.413,""
"201503","TAX","TAX","","",30269.739604,""
"201503","RS","RS","","",7273.193,""
"201503","LRB","LRB","","",4353.753,""
"201503","Fran_Bus","KMB","","",82745.154,""
"201503","Fran_Bus","CTB","1","",17223.866,""
"201503","Fran_Bus","CTB","2","",2395.471,""
"201503","Fran_Bus","NWFB","","",14734.621,""
"201503","Fran_Bus","LWB","","",3052.979,""
"201503","Fran_Bus","NLB","","",2224.014,""
"201503","Railways","MTRC","","Local",143526.699,""
"201503","Railways","MTRC","","Airport",1370.819,""
"201503","Railways","MTRC","","LRT",14781.984,""
"201503","Railways","HKT","","",5695.126,""
"201504","PLB","GMB","","",44995.725,""
"201504","PLB","RMB","","",9834.721,""
"201504","Ferries","NWFF","","",1374.713,""
"201504","Ferries","STF","","",1638.865,""
"201504","Ferries","LFS","","",1225.373,""
"201504","Fran_Bus","KMB","","",77684.892,""
"201504","Fran_Bus","CTB","1","",16115.284,""
"201504","Fran_Bus","CTB","2","",2360.779,""
"201504","Fran_Bus","NWFB","","",13758.469,""
"201504","Fran_Bus","LWB","","",3030.382,""
"201504","Fran_Bus","NLB","","",2105.455,""
"201504","Railways","MTRC","","Local",133937.013,""
"201504","Railways","MTRC","","Airport",1348.704,""
"201504","Railways","MTRC","","LRT",13886.006,""
"201504","Railways","HKT","","",5194.437,""
"201504","TAX","TAX","","",28212.797891,""
"201504","RS","RS","","",6944.627,""
"201504","LRB","LRB","","",4028.704,""
"201505","TAX","TAX","","",29511.747176,""
"201505","RS","RS","","",7239.973,""
"201505","LRB","LRB","","",4238.325,""
"201505","Fran_Bus","KMB","","",80164.433,""
"201505","Fran_Bus","CTB","1","",16355.991,""
"201505","Fran_Bus","CTB","2","",2351.178,""
"201505","Fran_Bus","NWFB","","",13924.649,""
"201505","Fran_Bus","LWB","","",3022.343,""
"201505","Fran_Bus","NLB","","",2129.485,""
"201505","Railways","MTRC","","Local",138434.668,""
"201505","Railways","MTRC","","Airport",1218.43,""
"201505","Railways","MTRC","","LRT",14881.661,""
"201505","Railways","HKT","","",5145.302,""
"201505","PLB","GMB","","",46647.127,""
"201505","PLB","RMB","","",10270.28,""
"201505","Ferries","NWFF","","",1256.731,""
"201505","Ferries","STF","","",1512.899,""
"201505","Ferries","LFS","","",1149.497,""
"201506","PLB","GMB","","",46607.984,""
"201506","PLB","RMB","","",10109.193,""
"201506","Ferries","NWFF","","",1135.072,""
"201506","Ferries","STF","","",1455.181,""
"201506","Ferries","LFS","","",1102.904,""
"201506","TAX","TAX","","",29699.44891,""
"201506","RS","RS","","",7304.84,""
"201506","LRB","LRB","","",4165.002,""
"201506","Fran_Bus","KMB","","",79431.462,""
"201506","Fran_Bus","CTB","1","",16337.616,""
"201506","Fran_Bus","CTB","2","",2371.513,""
"201506","Fran_Bus","NWFB","","",13789.239,""
"201506","Fran_Bus","LWB","","",3058.14,""
"201506","Fran_Bus","NLB","","",1966.206,""
"201506","Railways","MTRC","","Local",137450.643,""
"201506","Railways","MTRC","","Airport",1281.335,""
"201506","Railways","MTRC","","LRT",14730.48,""
"201506","Railways","HKT","","",5064.58,""
"201507","PLB","GMB","","",47205.241,""
"201507","PLB","RMB","","",10388.258,""
"201507","Ferries","NWFF","","",1209.707,""
"201507","Ferries","STF","","",1780.4,""
"201507","Ferries","LFS","","",1029.622,""
"201507","TAX","TAX","","",29961.91111,""
"201507","RS","RS","","",7181.133,""
"201507","LRB","LRB","","",4145.286,""
"201507","Fran_Bus","KMB","","",80767.803,""
"201507","Fran_Bus","CTB","1","",16531.336,""
"201507","Fran_Bus","CTB","2","",2475.271,""
"201507","Fran_Bus","NWFB","","",13949.262,""
"201507","Fran_Bus","LWB","","",3201.768,""
"201507","Fran_Bus","NLB","","",2065.181,""
"201507","Railways","MTRC","","Local",142841.334,""
"201507","Railways","MTRC","","Airport",1308.965,""
"201507","Railways","MTRC","","LRT",14890.618,""
"201507","Railways","HKT","","",5093.954,""
"201508","PLB","GMB","","",47554.033,""
"201508","PLB","RMB","","",10281.425,""
"201508","Railways","HKT","","",5265.791,""
"201508","Railways","MTRC","","LRT",14668.324,""
"201508","Railways","MTRC","","Airport",1335.573,""
"201508","Railways","MTRC","","Local",144155.336,""
"201508","Fran_Bus","NLB","","",2102.198,""
"201508","Fran_Bus","LWB","","",3253.444,""
"201508","Fran_Bus","NWFB","","",14185.84,""
"201508","Fran_Bus","CTB","2","",2540.291,""
"201508","Fran_Bus","CTB","1","",17139.504,""
"201508","Fran_Bus","KMB","","",81492.043,""
"201508","LRB","LRB","","",4067.885,""
"201508","RS","RS","","",7429.139,""
"201508","TAX","TAX","","",30487.390145,""
"201508","Ferries","LFS","","",1149.06,""
"201508","Ferries","STF","","",1861.943,""
"201508","Ferries","NWFF","","",1348.097,""
"201509","Fran_Bus","CTB","1","",16649.591,""
"201509","Railways","HKT","","",5397.032,""
"201509","Railways","MTRC","","LRT",15240.079,""
"201509","LRB","LRB","","",4302.485,""
"201509","RS","RS","","",7283.071,""
"201509","TAX","TAX","","",29337.085235,""
"201509","Ferries","LFS","","",1158.925,""
"201509","Ferries","STF","","",1462.649,""
"201509","Ferries","NWFF","","",1190.414,""
"201509","PLB","RMB","","",9686.223,""
"201509","PLB","GMB","","",47448.429,""
"201509","Railways","MTRC","","Airport",1324.202,""
"201509","Railways","MTRC","","Local",140547.916,""
"201509","Fran_Bus","NLB","","",2143.773,""
"201509","Fran_Bus","LWB","","",3027.272,""
"201509","Fran_Bus","NWFB","","",14137.098,""
"201509","Fran_Bus","CTB","2","",2366.668,""
