"YR_MTH","MODE","TTD_PTO_CODE","RAIL_LINE","AVG_DAILY_PAX","AVG_DAILY_PAX_INDI"
"201402","TAX","TAX","",969.821571392857,""
"201402","RS","RS","",232.65175,""
"201402","LRB","LRB","",128.466357142857,""
"201403","Fran_Bus","KMB","",2649.17774193548,""
"201403","Fran_Bus","CTB","",664.904709677419,""
"201403","Fran_Bus","NWFB","",501.054387096774,""
"201403","Fran_Bus","LWB","",91.8773225806452,""
"201403","Fran_Bus","NLB","",65.7757741935484,""
"201403","Railways","MTRC","Local",4440.84477419355,""
"201403","Railways","MTRC","Airport",41.5588709677419,""
"201403","Railways","MTRC","LRT",467.72435483871,""
"201403","Railways","HKT","",195.215548387097,""
"201403","PLB","GMB","",1502.94122580645,""
"201403","PLB","RMB","",353.242580645161,""
"201403","Ferries","NWFF","",39.9873225806452,""
"201403","Ferries","STF","",55.1969677419355,""
"201403","Ferries","LFS","",37.4064193548387,""
"201403","TAX","TAX","",981.082279322581,""
"201403","RS","RS","",234.19635483871,""
"201403","LRB","LRB","",136.626870967742,""
"201404","Fran_Bus","KMB","",2612.24556666667,""
"201404","Fran_Bus","CTB","",651.383266666667,""
"201404","Fran_Bus","NWFB","",498.4297,""
"201404","Fran_Bus","LWB","",95.2417,""
"201404","Fran_Bus","NLB","",68.3719333333333,""
"201404","Railways","MTRC","Local",4303.48003333333,""
"201404","Railways","MTRC","Airport",42.1745333333333,""
"201404","Railways","MTRC","LRT",457.243633333333,""
"201404","Railways","HKT","",194.974566666667,""
"201404","PLB","GMB","",1474.5614,""
"201404","PLB","RMB","",337.84,""
"201404","Ferries","NWFF","",44.6986333333333,""
"201404","Ferries","STF","",58.7576333333333,""
"201404","Ferries","LFS","",40.6714333333333,""
"201404","TAX","TAX","",939.4209457,""
"201404","RS","RS","",230.101166666667,""
"201404","LRB","LRB","",133.183266666667,""
"201405","Fran_Bus","KMB","",2618.85822580645,""
"201405","Fran_Bus","CTB","",644.336161290322,""
"201405","Fran_Bus","NWFB","",495.442451612903,""
"201405","Fran_Bus","LWB","",92.1709032258064,""
"201405","Fran_Bus","NLB","",65.3553225806452,""
"201405","Railways","MTRC","Local",4310.90158064516,""
"201405","Railways","MTRC","Airport",36.9778064516129,""
"201405","Railways","MTRC","LRT",473.658548387097,""
"201405","Railways","HKT","",187.546,""
"201405","PLB","GMB","",1485.60790322581,""
"201405","PLB","RMB","",348.764516129032,""
"201405","Ferries","NWFF","",38.9713548387097,""
"201405","Ferries","STF","",52.6959677419355,""
"201405","Ferries","LFS","",36.4532580645161,""
"201405","TAX","TAX","",977.942265387097,""
"201405","RS","RS","",236.665806451613,""
"201405","LRB","LRB","",136.802419354839,""
"201406","Fran_Bus","KMB","",2624.85813333333,""
"201406","Fran_Bus","CTB","",658.776033333333,""
"201406","Fran_Bus","NWFB","",499.598166666667,""
"201406","Fran_Bus","LWB","",95.4795333333333,""
"201406","Fran_Bus","NLB","",68.0042333333333,""
"201406","Railways","MTRC","Local",4329.53963333333,""
"201406","Railways","MTRC","Airport",40.7085,""
"201406","Railways","MTRC","LRT",478.831266666667,""
"201406","Railways","HKT","",191.300366666667,""
"201406","PLB","GMB","",1512.94973333333,""
"201406","PLB","RMB","",347.9112,""
"201406","Ferries","NWFF","",37.5974666666667,""
"201406","Ferries","STF","",53.9845666666667,""
"201406","Ferries","LFS","",36.8252333333333,""
"201406","TAX","TAX","",1003.68666936667,""
"201406","RS","RS","",240.9027,""
"201406","LRB","LRB","",136.8249,""
"201407","PLB","RMB","",353.198741935484,""
"201407","Ferries","NWFF","",40.3070967741935,""
"201407","Ferries","STF","",61.8018064516129,""
"201407","Ferries","LFS","",34.5860967741935,""
"201407","TAX","TAX","",1012.46367741935,""
"201407","RS","RS","",236.64435483871,""
"201407","LRB","LRB","",133.607709677419,""
"201407","Fran_Bus","KMB","",2638.37429032258,""
"201407","Fran_Bus","CTB","",673.446677419355,""
"201407","Fran_Bus","NWFB","",505.244258064516,""
"201407","Fran_Bus","LWB","",97.2868387096774,""
"201407","Fran_Bus","NLB","",70.0068064516129,""
"201407","Railways","MTRC","Local",4513.90725806452,""
"201407","Railways","MTRC","Airport",37.9640967741935,""
"201407","Railways","MTRC","LRT",476.435419354839,""
"201407","Railways","HKT","",184.357903225806,""
"201407","PLB","GMB","",1514.19267741935,""
"201408","Railways","MTRC","Airport",39.883,""
"201408","Railways","MTRC","LRT",472.130516129032,""
"201408","Railways","HKT","",185.102258064516,""
"201408","PLB","GMB","",1512.67767741935,""
"201408","PLB","RMB","",353.40064516129,""
"201408","Ferries","NWFF","",44.305064516129,""
"201408","Ferries","STF","",62.9997419354839,""
"201408","Ferries","LFS","",37.3824838709677,""
"201408","TAX","TAX","",1018.18448387097,""
"201408","RS","RS","",241.494225806452,""
"201408","LRB","LRB","",132.643935483871,""
"201408","Fran_Bus","KMB","",2647.56035483871,""
"201408","Fran_Bus","CTB","",681.776483870968,""
"201408","Fran_Bus","NWFB","",504.818741935484,""
"201408","Fran_Bus","LWB","",100.078483870968,""
"201408","Fran_Bus","NLB","",74.309064516129,""
"201408","Railways","MTRC","Local",4584.79196774194,""
"201409","Fran_Bus","KMB","",2657.17426666667,""
"201409","LRB","LRB","",144.023766666667,""
"201409","Fran_Bus","NWFB","",499.2241,""
"201409","Fran_Bus","LWB","",95.8553666666667,""
"201409","Fran_Bus","NLB","",69.7544666666667,""
"201409","Railways","MTRC","Local",4620.47003333333,""
"201409","Railways","MTRC","Airport",43.3072,""
"201409","Railways","MTRC","LRT",500.7351,""
"201409","Railways","HKT","",185.71,""
"201409","PLB","GMB","",1544.47716666667,""
"201409","PLB","RMB","",351.951533333333,""
"201409","Ferries","NWFF","",37.7396333333333,""
"201409","Ferries","STF","",50.1904,""
"201409","Ferries","LFS","",36.9447,""
"201409","TAX","TAX","",988.225433333333,""
"201409","RS","RS","",246.643233333333,""
"201409","Fran_Bus","CTB","",657.286066666667,""
"201410","Railways","MTRC","Airport",44.4006451612903,""
"201410","Fran_Bus","NLB","",71.9597419354839,""
"201410","LRB","LRB","",147.682161290323,""
"201410","RS","RS","",238.843322580645,""
"201410","TAX","TAX","",911.924516129032,""
"201410","Ferries","LFS","",38.746,""
"201410","Ferries","STF","",57.4155483870968,""
"201410","Ferries","NWFF","",41.0285161290323,""
"201410","PLB","RMB","",348.348193548387,""
"201410","PLB","GMB","",1554.18822580645,""
"201410","Railways","HKT","",134.254580645161,""
"201410","Railways","MTRC","LRT",499.882096774194,""
