"YR_MTH","VEHICLE_CLASS_CODE","GOODS_VEHICLE_TYPE_CODE","GOV_VEHICLE_TYPE_CODE","MOTOR_CYCLE_TYPE_CODE","TAXIS_TYPE_CODE","TTD_PTO_CODE","BUS_TYPE_CODE","FRANCHISED_TYPE","FIRST_REG","TOTAL_REG","TOTAL_LIC"
"201312","12","","","","","CTB","DD","1",5,757,723
"201312","12","","","","","KMB","DD","",44,3670,3667
"201312","9","","","","","GMB","","",1,3110,3107
"201312","4","","","","","","SD","",3,520,511
"201312","7","","OTHERS","","","","","",13,5479,5479
"201312","2","","","COMBO","","","","",1,48,35
"201312","12","","","","","NWFB","DD","",3,683,680
"201312","7","","MC","","","","","",0,826,826
"201312","3","","","","Urban","TAX","","",78,15250,15206
"201312","12","","","","","CTB","SD","1",0,56,54
"201312","12","","","","","KMB","SD","",0,177,177
"201312","2","","","SOLO","","","","",255,60055,41671
"201312","2","","","MTRI","","","","",5,77,60
"201312","9","","","","","RMB","","",1,1240,1239
"201312","1","","","","","","","",4337,517997,475752
"201312","12","","","","","CTB","SD","2",0,15,14
"201312","6","","","","","","","",20,1722,1556
"201312","11","","","","","OTHERS","DD","",0,102,100
"201312","11","","","","","LRB","SD","",0,8,8
"201312","11","","","","","OTHERS","SD","",5,6828,6766
"201401","9","","","","","RMB","","",1,1238,1236
"201401","12","","","","","KMB","DD","",45,3694,3690
"201401","3","","","","NT","TAX","","",15,2838,2829
"201401","4","","","","","","SD","",10,526,518
"201401","5","2","","","","","","",457,41150,38512
"201401","12","","","","","LWB","SD","",0,0,0
"201401","2","","","SOLO","","","","",402,60334,41998
"201401","12","","","","","CTB","SD","2",0,15,14
"201401","11","","","","","LRB","SD","",0,8,8
"201401","3","","","","Lantau","TAX","","",0,50,50
"201401","12","","","","","NWFB","DD","",9,690,687
"201401","11","","","","","LRB","DD","",0,116,116
"201401","2","","","MTRI","","","","",5,82,63
"201401","12","","","","","CTB","DD","1",1,738,724
"201401","4","","","","","","DD","",1,62,61
"201401","7","","MC","","","","","",0,823,823
"201401","12","","","","","CTB","SD","1",0,55,54
"201401","12","","","","","NLB","DD","",0,0,0
"201401","12","","","","","LWB","DD","",5,172,172
"201401","11","","","","","OTHERS","SD","",9,6828,6775
"201401","3","","","","Urban","TAX","","",108,15250,15192
"201401","1","","","","","","","",3348,519434,478193
"201401","7","","OTHERS","","","","","",13,5468,5468
"201401","10","","","","","","","",49,2842,2809
"201401","12","","","","","CTB","DD","2",3,178,165
"201401","6","","","","","","","",13,1732,1561
"201401","2","","","COMBO","","","","",1,48,35
"201401","12","","","","","NLB","SD","",0,108,108
"201401","12","","","","","KMB","SD","",0,177,177
"201401","9","","","","","GMB","","",0,3112,3110
"201401","5","3","","","","","","",152,5058,4851
"201401","5","1","","","","","","",712,80103,75190
"201401","12","","","","","NWFB","SD","",0,36,34
"201401","11","","","","","OTHERS","DD","",0,102,98
"201402","12","","","","","NLB","DD","",2,2,2
"201402","3","","","","NT","TAX","","",9,2838,2832
"201402","5","2","","","","","","",74,41182,38691
"201402","9","","","","","GMB","","",0,3112,3110
"201402","10","","","","","","","",11,2853,2820
"201402","12","","","","","CTB","DD","2",1,172,164
"201402","12","","","","","LWB","SD","",0,0,0
"201402","11","","","","","LRB","DD","",0,116,116
"201402","2","","","COMBO","","","","",1,49,36
"201402","2","","","MTRI","","","","",1,83,61
"201402","5","3","","","","","","",12,5070,4876
"201402","12","","","","","CTB","DD","1",11,741,727
"201402","7","","MC","","","","","",0,820,820
"201402","12","","","","","KMB","DD","",0,3679,3676
"201402","5","1","","","","","","",277,80307,75614
"201402","1","","","","","","","",4200,522022,480319
"201402","2","","","SOLO","","","","",317,60545,42038
"201402","12","","","","","NWFB","DD","",0,689,683
"201402","4","","","","","","DD","",0,62,62
"201402","12","","","","","CTB","SD","1",0,55,53
"201402","11","","","","","LRB","SD","",0,8,8
"201402","6","","","","","","","",5,1737,1560
"201402","3","","","","Lantau","TAX","","",0,50,50
"201402","11","","","","","OTHERS","DD","",1,103,99
"201402","12","","","","","CTB","SD","2",0,15,14
"201402","11","","","","","OTHERS","SD","",7,6827,6778
"201402","12","","","","","NLB","SD","",2,110,110
"201402","12","","","","","LWB","DD","",3,175,173
"201402","12","","","","","NWFB","SD","",0,36,35
"201402","3","","","","Urban","TAX","","",108,15250,15193
"201402","12","","","","","KMB","SD","",0,177,177
"201402","4","","","","","","SD","",2,525,517
"201402","9","","","","","RMB","","",0,1238,1235
"201402","7","","OTHERS","","","","","",15,5465,5465
"201403","11","","","","","LRB","DD","",0,116,116
"201403","11","","","","","OTHERS","DD","",0,103,102
"201403","2","","","MTRI","","","","",0,83,62
"201403","4","","","","","","DD","",0,62,62
"201403","12","","","","","CTB","DD","2",6,176,165
"201403","10","","","","","","","",22,2856,2820
"201403","12","","","","","KMB","SD","",0,176,175
"201403","12","","","","","NLB","SD","",0,110,108
"201403","2","","","COMBO","","","","",0,49,32
"201403","12","","","","","NWFB","DD","",3,692,686
"201403","7","","OTHERS","","","","","",35,5467,5467
"201403","12","","","","","CTB","DD","1",12,742,731
"201403","12","","","","","KMB","DD","",12,3680,3677
"201403","11","","","","","LRB","SD","",0,8,8
"201403","2","","","SOLO","","","","",448,60843,42323
"201403","5","2","","","","","","",303,39885,37626
"201403","4","","","","","","SD","",3,525,516
"201403","12","","","","","CTB","SD","2",0,14,12
"201403","12","","","","","LWB","DD","",4,174,173
"201403","6","","","","","","","",7,1737,1557
"201403","11","","","","","OTHERS","SD","",39,6824,6780
"201403","3","","","","NT","TAX","","",18,2838,2825
"201403","12","","","","","NLB","DD","",0,2,2
"201403","9","","","","","RMB","","",2,1236,1231
"201403","3","","","","Lantau","TAX","","",0,50,48
"201403","12","","","","","LWB","SD","",0,0,0
"201403","12","","","","","NWFB","SD","",0,36,34
"201403","3","","","","Urban","TAX","","",176,15250,15169
"201403","5","3","","","","","","",34,5035,4842
"201403","7","","MC","","","","","",2,818,818
"201403","9","","","","","GMB","","",3,3114,3111
"201403","1","","","","","","","",4005,524155,481310
"201403","5","1","","","","","","",644,78410,74244
"201403","12","","","","","CTB","SD","1",0,53,52
"201404","10","","","","","","","",16,2858,2828
"201404","2","","","COMBO","","","","",0,49,33
"201404","3","","","","NT","TAX","","",22,2838,2825
"201404","5","3","","","","","","",56,5023,4869
"201404","2","","","SOLO","","","","",481,61218,42655
"201404","3","","","","Urban","TAX","","",115,15250,15188
"201404","11","","","","","LRB","DD","",0,116,116
"201404","9","","","","","GMB","","",2,3113,3113
"201404","11","","","","","OTHERS","SD","",42,6823,6783
"201404","7","","MC","","","","","",11,813,813
"201404","2","","","MTRI","","","","",4,87,65
"201404","11","","","","","LRB","SD","",0,8,8
"201404","11","","","","","OTHERS","DD","",0,103,98
"201404","12","","","","","CTB","DD","2",4,180,164
"201404","4","","","","","","DD","",0,62,62
"201404","1","","","","","","","",3451,525717,482829
"201404","12","","","","","NLB","SD","",0,110,109
"201404","12","","","","","NWFB","SD","",0,36,32
"201404","12","","","","","NWFB","DD","",1,693,691
"201404","7","","OTHERS","","","","","",22,5466,5466
"201404","5","1","","","","","","",590,77169,73562
"201404","12","","","","","CTB","SD","2",0,14,14
"201404","4","","","","","","SD","",2,524,516
"201404","12","","","","","LWB","DD","",6,176,174
"201404","5","2","","","","","","",371,39243,37304
"201404","12","","","","","NLB","DD","",0,2,2
"201404","12","","","","","KMB","DD","",23,3668,3665
"201404","12","","","","","KMB","SD","",0,176,175
"201404","3","","","","Lantau","TAX","","",2,50,50
"201404","12","","","","","LWB","SD","",0,0,0
"201404","9","","","","","RMB","","",2,1237,1229
"201404","12","","","","","CTB","SD","1",0,52,52
"201404","12","","","","","CTB","DD","1",11,738,731
"201404","6","","","","","","","",2,1727,1534
"201405","7","","MC","","","","","",2,809,809
"201405","12","","","","","CTB","DD","1",13,747,728
"201405","12","","","","","LWB","SD","",0,0,0
"201405","11","","","","","LRB","DD","",3,116,116
"201405","3","","","","NT","TAX","","",27,2838,2824
"201405","3","","","","Urban","TAX","","",100,15250,15188
"201405","12","","","","","NWFB","DD","",0,693,689
"201405","5","2","","","","","","",459,38846,37101
"201405","11","","","","","LRB","SD","",0,8,8
"201405","2","","","SOLO","","","","",426,61521,42631
"201405","1","","","","","","","",3532,527245,483984
"201405","12","","","","","CTB","SD","1",0,52,51
