matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_operator,official_operator_components_json,joint_operation,service_scope,operator_scope_status,route_franchise_scope_status,route_identifier_status,json_pattern_candidate_count,known_unmatched_route,scope_evidence,unresolved_reason
line_bus_1000049,bus_1000049_1,1000049,1,LWB,"[""LWB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000051,bus_1000051_1,1000051,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000052,bus_1000052_1,1000052,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000053,bus_1000053_1,1000053,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000054,bus_1000054_1,1000054,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000055,bus_1000055_1,1000055,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000059,bus_1000059_1,1000059,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000059,bus_1000059_2,1000059,2,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000061,bus_1000061_1,1000061,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000063,bus_1000063_1,1000063,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000063,bus_1000063_2,1000063,2,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000064,bus_1000064_1,1000064,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000065,bus_1000065_1,1000065,1,LWB,"[""LWB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000065,bus_1000065_2,1000065,2,LWB,"[""LWB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000066,bus_1000066_1,1000066,1,LRTFeeder,"[""LRTFeeder""]",False,other_bus_service,other_bus_operator,other_bus_service,exact_official_route_id,1,False,official_non_franchised_bus_operator_and_exact_JSON_pattern,
line_bus_1000066,bus_1000066_2,1000066,2,LRTFeeder,"[""LRTFeeder""]",False,other_bus_service,other_bus_operator,other_bus_service,exact_official_route_id,1,False,official_non_franchised_bus_operator_and_exact_JSON_pattern,
line_bus_1000067,bus_1000067_1,1000067,1,LRTFeeder,"[""LRTFeeder""]",False,other_bus_service,other_bus_operator,other_bus_service,exact_official_route_id,1,False,official_non_franchised_bus_operator_and_exact_JSON_pattern,
line_bus_1000068,bus_1000068_1,1000068,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000069,bus_1000069_1,1000069,1,NLB,"[""NLB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000070,bus_1000070_1,1000070,1,NLB,"[""NLB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000071,bus_1000071_1,1000071,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000073,bus_1000073_1,1000073,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
