mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_01775,BV11012581,拱屿村,119.560124,26.13017,119.55561327557314,26.13349734400069,755522.2668488714,2892979.10919683,350100010055;350100010056;900000097540;900000097541;900000169563;900000169564,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01776,BV11094968,塘头村,119.557709,26.126165,119.55319279791756,26.1294856684457,755288.888027291,2892529.803937328,350100010055;350100010056;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01777,BV11012587,山兜村,119.549839,26.120515,119.54530272716931,26.12381706988448,754511.9508511291,2891886.174384321,350100010055;350100010056;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01778,BV10891754,长祥路口,119.547997,26.118092,119.54345575694089,26.121388673225493,754332.4554071858,2891613.46176666,350100010055;350100010056;350100010308;350100010309;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01779,BV10209423,下坪,119.546646,26.113213,119.54210125793774,26.116503628162526,754207.5380959266,2891069.48724672,350100010055;350100010056;350100010308;350100010309,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01780,BV10209424,长安村,119.544403,26.108702,119.53985203960822,26.111984766596468,753992.304630929,2890564.345027631,350100010055;350100010056;350100010308;350100010309;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01781,BV10391587,光德亭,119.540699,26.104779,119.53613712904274,26.1080507060511,753629.1513477935,2890121.1521489746,350100010055;350100010056;350100010308;350100010309,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01782,BV10208834,东岐,119.5383,26.102272,119.5337308183096,26.105536332584443,753393.8342866357,2889837.838719662,350100010055;350100010056;350100010308;350100010309;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01783,BV10208833,英屿,119.531897,26.096797,119.52730736775408,26.100041633308656,752763.0037879681,2889216.4637466213,350100010055;350100010056;350100010308;350100010309;900000097540;900000097541,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01784,BV10208832,长柄,119.52352,26.087812,119.51890214871824,26.091028112699423,751941.3671481196,2888201.3614506605,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000082325;900000082326;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
